date_key,day_of_week,month,year,quarter,is_holiday
2020-02-18,Tuesday,February,2020,2020Q1,0
2020-02-19,Wednesday,February,2020,2020Q1,0
2020-02-20,Thursday,February,2020,2020Q1,0
2020-02-21,Friday,February,2020,2020Q1,0
2020-02-22,Saturday,February,2020,2020Q1,1
2020-02-23,Sunday,February,2020,2020Q1,1
2020-02-24,Monday,February,2020,2020Q1,0
2020-02-25,Tuesday,February,2020,2020Q1,0
2020-02-26,Wednesday,February,2020,2020Q1,0
2020-02-27,Thursday,February,2020,2020Q1,0
2020-02-28,Friday,February,2020,2020Q1,0
2020-02-29,Saturday,February,2020,2020Q1,1
2020-03-01,Sunday,March,2020,2020Q1,1
2020-03-02,Monday,March,2020,2020Q1,0
2020-03-03,Tuesday,March,2020,2020Q1,0
2020-03-04,Wednesday,March,2020,2020Q1,0
2020-03-05,Thursday,March,2020,2020Q1,0
2020-03-06,Friday,March,2020,2020Q1,0
2020-03-07,Saturday,March,2020,2020Q1,1
2020-03-08,Sunday,March,2020,2020Q1,1
2020-03-09,Monday,March,2020,2020Q1,0
2020-03-10,Tuesday,March,2020,2020Q1,0
2020-03-11,Wednesday,March,2020,2020Q1,0
2020-03-12,Thursday,March,2020,2020Q1,0
2020-03-13,Friday,March,2020,2020Q1,0
2020-03-14,Saturday,March,2020,2020Q1,1
2020-03-15,Sunday,March,2020,2020Q1,1
2020-03-16,Monday,March,2020,2020Q1,0
2020-03-17,Tuesday,March,2020,2020Q1,0
2020-03-18,Wednesday,March,2020,2020Q1,0
2020-03-19,Thursday,March,2020,2020Q1,0
2020-03-20,Friday,March,2020,2020Q1,0
2020-03-21,Saturday,March,2020,2020Q1,1
2020-03-22,Sunday,March,2020,2020Q1,1
2020-03-23,Monday,March,2020,2020Q1,0
2020-03-24,Tuesday,March,2020,2020Q1,0
2020-03-25,Wednesday,March,2020,2020Q1,0
2020-03-26,Thursday,March,2020,2020Q1,0
2020-03-27,Friday,March,2020,2020Q1,0
2020-03-28,Saturday,March,2020,2020Q1,1
2020-03-29,Sunday,March,2020,2020Q1,1
2020-03-30,Monday,March,2020,2020Q1,0
2020-03-31,Tuesday,March,2020,2020Q1,0
2020-04-01,Wednesday,April,2020,2020Q2,0
2020-04-02,Thursday,April,2020,2020Q2,0
2020-04-03,Friday,April,2020,2020Q2,0
2020-04-04,Saturday,April,2020,2020Q2,1
2020-04-05,Sunday,April,2020,2020Q2,1
2020-04-06,Monday,April,2020,2020Q2,0
2020-04-07,Tuesday,April,2020,2020Q2,0
2020-04-08,Wednesday,April,2020,2020Q2,0
2020-04-09,Thursday,April,2020,2020Q2,0
2020-04-10,Friday,April,2020,2020Q2,0
2020-04-11,Saturday,April,2020,2020Q2,1
2020-04-12,Sunday,April,2020,2020Q2,1
2020-04-13,Monday,April,2020,2020Q2,0
2020-04-14,Tuesday,April,2020,2020Q2,0
2020-04-15,Wednesday,April,2020,2020Q2,0
2020-04-16,Thursday,April,2020,2020Q2,0
2020-04-17,Friday,April,2020,2020Q2,0
2020-04-18,Saturday,April,2020,2020Q2,1
2020-04-19,Sunday,April,2020,2020Q2,1
2020-04-20,Monday,April,2020,2020Q2,0
2020-04-21,Tuesday,April,2020,2020Q2,0
2020-04-22,Wednesday,April,2020,2020Q2,0
2020-04-23,Thursday,April,2020,2020Q2,0
2020-04-24,Friday,April,2020,2020Q2,0
2020-04-25,Saturday,April,2020,2020Q2,1
2020-04-26,Sunday,April,2020,2020Q2,1
2020-04-27,Monday,April,2020,2020Q2,0
2020-04-28,Tuesday,April,2020,2020Q2,0
2020-04-29,Wednesday,April,2020,2020Q2,0
2020-04-30,Thursday,April,2020,2020Q2,0
2020-05-01,Friday,May,2020,2020Q2,0
2020-05-02,Saturday,May,2020,2020Q2,1
2020-05-03,Sunday,May,2020,2020Q2,1
2020-05-04,Monday,May,2020,2020Q2,0
2020-05-05,Tuesday,May,2020,2020Q2,0
2020-05-06,Wednesday,May,2020,2020Q2,0
2020-05-07,Thursday,May,2020,2020Q2,0
2020-05-08,Friday,May,2020,2020Q2,0
2020-05-09,Saturday,May,2020,2020Q2,1
2020-05-10,Sunday,May,2020,2020Q2,1
2020-05-11,Monday,May,2020,2020Q2,0
2020-05-12,Tuesday,May,2020,2020Q2,0
2020-05-13,Wednesday,May,2020,2020Q2,0
2020-05-14,Thursday,May,2020,2020Q2,0
2020-05-15,Friday,May,2020,2020Q2,0
2020-05-16,Saturday,May,2020,2020Q2,1
2020-05-17,Sunday,May,2020,2020Q2,1
2020-05-18,Monday,May,2020,2020Q2,0
2020-05-19,Tuesday,May,2020,2020Q2,0
2020-05-20,Wednesday,May,2020,2020Q2,0
2020-05-21,Thursday,May,2020,2020Q2,0
2020-05-22,Friday,May,2020,2020Q2,0
2020-05-23,Saturday,May,2020,2020Q2,1
2020-05-24,Sunday,May,2020,2020Q2,1
2020-05-25,Monday,May,2020,2020Q2,0
2020-05-26,Tuesday,May,2020,2020Q2,0
2020-05-27,Wednesday,May,2020,2020Q2,0
2020-05-28,Thursday,May,2020,2020Q2,0
2020-05-29,Friday,May,2020,2020Q2,0
2020-05-30,Saturday,May,2020,2020Q2,1
2020-05-31,Sunday,May,2020,2020Q2,1
2020-06-01,Monday,June,2020,2020Q2,0
2020-06-02,Tuesday,June,2020,2020Q2,0
2020-06-03,Wednesday,June,2020,2020Q2,0
2020-06-04,Thursday,June,2020,2020Q2,0
2020-06-05,Friday,June,2020,2020Q2,0
2020-06-06,Saturday,June,2020,2020Q2,1
2020-06-07,Sunday,June,2020,2020Q2,1
2020-06-08,Monday,June,2020,2020Q2,0
2020-06-09,Tuesday,June,2020,2020Q2,0
2020-06-10,Wednesday,June,2020,2020Q2,0
2020-06-11,Thursday,June,2020,2020Q2,0
2020-06-12,Friday,June,2020,2020Q2,0
2020-06-13,Saturday,June,2020,2020Q2,1
2020-06-14,Sunday,June,2020,2020Q2,1
2020-06-15,Monday,June,2020,2020Q2,0
2020-06-16,Tuesday,June,2020,2020Q2,0
2020-06-17,Wednesday,June,2020,2020Q2,0
2020-06-18,Thursday,June,2020,2020Q2,0
2020-06-19,Friday,June,2020,2020Q2,0
2020-06-20,Saturday,June,2020,2020Q2,1
2020-06-21,Sunday,June,2020,2020Q2,1
2020-06-22,Monday,June,2020,2020Q2,0
2020-06-23,Tuesday,June,2020,2020Q2,0
2020-06-24,Wednesday,June,2020,2020Q2,0
2020-06-25,Thursday,June,2020,2020Q2,0
2020-06-26,Friday,June,2020,2020Q2,0
2020-06-27,Saturday,June,2020,2020Q2,1
2020-06-28,Sunday,June,2020,2020Q2,1
2020-06-29,Monday,June,2020,2020Q2,0
2020-06-30,Tuesday,June,2020,2020Q2,0
2020-07-01,Wednesday,July,2020,2020Q3,0
2020-07-02,Thursday,July,2020,2020Q3,0
2020-07-03,Friday,July,2020,2020Q3,0
2020-07-04,Saturday,July,2020,2020Q3,1
2020-07-05,Sunday,July,2020,2020Q3,1
2020-07-06,Monday,July,2020,2020Q3,0
2020-07-07,Tuesday,July,2020,2020Q3,0
2020-07-08,Wednesday,July,2020,2020Q3,0
2020-07-09,Thursday,July,2020,2020Q3,0
2020-07-10,Friday,July,2020,2020Q3,0
2020-07-11,Saturday,July,2020,2020Q3,1
2020-07-12,Sunday,July,2020,2020Q3,1
2020-07-13,Monday,July,2020,2020Q3,0
2020-07-14,Tuesday,July,2020,2020Q3,0
2020-07-15,Wednesday,July,2020,2020Q3,0
2020-07-16,Thursday,July,2020,2020Q3,0
2020-07-17,Friday,July,2020,2020Q3,0
2020-07-18,Saturday,July,2020,2020Q3,1
2020-07-19,Sunday,July,2020,2020Q3,1
2020-07-20,Monday,July,2020,2020Q3,0
2020-07-21,Tuesday,July,2020,2020Q3,0
2020-07-22,Wednesday,July,2020,2020Q3,0
2020-07-23,Thursday,July,2020,2020Q3,0
2020-07-24,Friday,July,2020,2020Q3,0
2020-07-25,Saturday,July,2020,2020Q3,1
2020-07-26,Sunday,July,2020,2020Q3,1
2020-07-27,Monday,July,2020,2020Q3,0
2020-07-28,Tuesday,July,2020,2020Q3,0
2020-07-29,Wednesday,July,2020,2020Q3,0
2020-07-30,Thursday,July,2020,2020Q3,0
2020-07-31,Friday,July,2020,2020Q3,0
2020-08-01,Saturday,August,2020,2020Q3,1
2020-08-02,Sunday,August,2020,2020Q3,1
2020-08-03,Monday,August,2020,2020Q3,0
2020-08-04,Tuesday,August,2020,2020Q3,0
2020-08-05,Wednesday,August,2020,2020Q3,0
2020-08-06,Thursday,August,2020,2020Q3,0
2020-08-07,Friday,August,2020,2020Q3,0
2020-08-08,Saturday,August,2020,2020Q3,1
2020-08-09,Sunday,August,2020,2020Q3,1
2020-08-10,Monday,August,2020,2020Q3,0
2020-08-11,Tuesday,August,2020,2020Q3,0
2020-08-12,Wednesday,August,2020,2020Q3,0
2020-08-13,Thursday,August,2020,2020Q3,0
2020-08-14,Friday,August,2020,2020Q3,0
2020-08-15,Saturday,August,2020,2020Q3,1
2020-08-16,Sunday,August,2020,2020Q3,1
2020-08-17,Monday,August,2020,2020Q3,0
2020-08-18,Tuesday,August,2020,2020Q3,0
2020-08-19,Wednesday,August,2020,2020Q3,0
2020-08-20,Thursday,August,2020,2020Q3,0
2020-08-21,Friday,August,2020,2020Q3,0
2020-08-22,Saturday,August,2020,2020Q3,1
2020-08-23,Sunday,August,2020,2020Q3,1
2020-08-24,Monday,August,2020,2020Q3,0
2020-08-25,Tuesday,August,2020,2020Q3,0
2020-08-26,Wednesday,August,2020,2020Q3,0
2020-08-27,Thursday,August,2020,2020Q3,0
2020-08-28,Friday,August,2020,2020Q3,0
2020-08-29,Saturday,August,2020,2020Q3,1
2020-08-30,Sunday,August,2020,2020Q3,1
2020-08-31,Monday,August,2020,2020Q3,0
2020-09-01,Tuesday,September,2020,2020Q3,0
2020-09-02,Wednesday,September,2020,2020Q3,0
2020-09-03,Thursday,September,2020,2020Q3,0
2020-09-04,Friday,September,2020,2020Q3,0
2020-09-05,Saturday,September,2020,2020Q3,1
2020-09-06,Sunday,September,2020,2020Q3,1
2020-09-07,Monday,September,2020,2020Q3,0
2020-09-08,Tuesday,September,2020,2020Q3,0
2020-09-09,Wednesday,September,2020,2020Q3,0
2020-09-10,Thursday,September,2020,2020Q3,0
2020-09-11,Friday,September,2020,2020Q3,0
2020-09-12,Saturday,September,2020,2020Q3,1
2020-09-13,Sunday,September,2020,2020Q3,1
2020-09-14,Monday,September,2020,2020Q3,0
2020-09-15,Tuesday,September,2020,2020Q3,0
2020-09-16,Wednesday,September,2020,2020Q3,0
2020-09-17,Thursday,September,2020,2020Q3,0
2020-09-18,Friday,September,2020,2020Q3,0
2020-09-19,Saturday,September,2020,2020Q3,1
2020-09-20,Sunday,September,2020,2020Q3,1
2020-09-21,Monday,September,2020,2020Q3,0
2020-09-22,Tuesday,September,2020,2020Q3,0
2020-09-23,Wednesday,September,2020,2020Q3,0
2020-09-24,Thursday,September,2020,2020Q3,0
2020-09-25,Friday,September,2020,2020Q3,0
2020-09-26,Saturday,September,2020,2020Q3,1
2020-09-27,Sunday,September,2020,2020Q3,1
2020-09-28,Monday,September,2020,2020Q3,0
2020-09-29,Tuesday,September,2020,2020Q3,0
2020-09-30,Wednesday,September,2020,2020Q3,0
2020-10-01,Thursday,October,2020,2020Q4,0
2020-10-02,Friday,October,2020,2020Q4,0
2020-10-03,Saturday,October,2020,2020Q4,1
2020-10-04,Sunday,October,2020,2020Q4,1
2020-10-05,Monday,October,2020,2020Q4,0
2020-10-06,Tuesday,October,2020,2020Q4,0
2020-10-07,Wednesday,October,2020,2020Q4,0
2020-10-08,Thursday,October,2020,2020Q4,0
2020-10-09,Friday,October,2020,2020Q4,0
2020-10-10,Saturday,October,2020,2020Q4,1
2020-10-11,Sunday,October,2020,2020Q4,1
2020-10-12,Monday,October,2020,2020Q4,0
2020-10-13,Tuesday,October,2020,2020Q4,0
2020-10-14,Wednesday,October,2020,2020Q4,0
2020-10-15,Thursday,October,2020,2020Q4,0
2020-10-16,Friday,October,2020,2020Q4,0
2020-10-17,Saturday,October,2020,2020Q4,1
2020-10-18,Sunday,October,2020,2020Q4,1
2020-10-19,Monday,October,2020,2020Q4,0
2020-10-20,Tuesday,October,2020,2020Q4,0
2020-10-21,Wednesday,October,2020,2020Q4,0
2020-10-22,Thursday,October,2020,2020Q4,0
2020-10-23,Friday,October,2020,2020Q4,0
2020-10-24,Saturday,October,2020,2020Q4,1
2020-10-25,Sunday,October,2020,2020Q4,1
2020-10-26,Monday,October,2020,2020Q4,0
2020-10-27,Tuesday,October,2020,2020Q4,0
2020-10-28,Wednesday,October,2020,2020Q4,0
2020-10-29,Thursday,October,2020,2020Q4,0
2020-10-30,Friday,October,2020,2020Q4,0
2020-10-31,Saturday,October,2020,2020Q4,1
2020-11-01,Sunday,November,2020,2020Q4,1
2020-11-02,Monday,November,2020,2020Q4,0
2020-11-03,Tuesday,November,2020,2020Q4,0
2020-11-04,Wednesday,November,2020,2020Q4,0
2020-11-05,Thursday,November,2020,2020Q4,0
2020-11-06,Friday,November,2020,2020Q4,0
2020-11-07,Saturday,November,2020,2020Q4,1
2020-11-08,Sunday,November,2020,2020Q4,1
2020-11-09,Monday,November,2020,2020Q4,0
2020-11-10,Tuesday,November,2020,2020Q4,0
2020-11-11,Wednesday,November,2020,2020Q4,0
2020-11-12,Thursday,November,2020,2020Q4,0
2020-11-13,Friday,November,2020,2020Q4,0
2020-11-14,Saturday,November,2020,2020Q4,1
2020-11-15,Sunday,November,2020,2020Q4,1
2020-11-16,Monday,November,2020,2020Q4,0
2020-11-17,Tuesday,November,2020,2020Q4,0
2020-11-18,Wednesday,November,2020,2020Q4,0
2020-11-19,Thursday,November,2020,2020Q4,0
2020-11-20,Friday,November,2020,2020Q4,0
2020-11-21,Saturday,November,2020,2020Q4,1
2020-11-22,Sunday,November,2020,2020Q4,1
2020-11-23,Monday,November,2020,2020Q4,0
2020-11-24,Tuesday,November,2020,2020Q4,0
2020-11-25,Wednesday,November,2020,2020Q4,0
2020-11-26,Thursday,November,2020,2020Q4,0
2020-11-27,Friday,November,2020,2020Q4,0
2020-11-28,Saturday,November,2020,2020Q4,1
2020-11-29,Sunday,November,2020,2020Q4,1
2020-11-30,Monday,November,2020,2020Q4,0
2020-12-01,Tuesday,December,2020,2020Q4,0
2020-12-02,Wednesday,December,2020,2020Q4,0
2020-12-03,Thursday,December,2020,2020Q4,0
2020-12-04,Friday,December,2020,2020Q4,0
2020-12-05,Saturday,December,2020,2020Q4,1
2020-12-06,Sunday,December,2020,2020Q4,1
2020-12-07,Monday,December,2020,2020Q4,0
2020-12-08,Tuesday,December,2020,2020Q4,0
2020-12-09,Wednesday,December,2020,2020Q4,0
2020-12-10,Thursday,December,2020,2020Q4,0
2020-12-11,Friday,December,2020,2020Q4,0
2020-12-12,Saturday,December,2020,2020Q4,1
2020-12-13,Sunday,December,2020,2020Q4,1
2020-12-14,Monday,December,2020,2020Q4,0
2020-12-15,Tuesday,December,2020,2020Q4,0
2020-12-16,Wednesday,December,2020,2020Q4,0
2020-12-17,Thursday,December,2020,2020Q4,0
2020-12-18,Friday,December,2020,2020Q4,0
2020-12-19,Saturday,December,2020,2020Q4,1
2020-12-20,Sunday,December,2020,2020Q4,1
2020-12-21,Monday,December,2020,2020Q4,0
2020-12-22,Tuesday,December,2020,2020Q4,0
2020-12-23,Wednesday,December,2020,2020Q4,0
2020-12-24,Thursday,December,2020,2020Q4,0
2020-12-25,Friday,December,2020,2020Q4,0
2020-12-26,Saturday,December,2020,2020Q4,1
2020-12-27,Sunday,December,2020,2020Q4,1
2020-12-28,Monday,December,2020,2020Q4,0
2020-12-29,Tuesday,December,2020,2020Q4,0
2020-12-30,Wednesday,December,2020,2020Q4,0
2020-12-31,Thursday,December,2020,2020Q4,0
2021-01-01,Friday,January,2021,2021Q1,0
2021-01-02,Saturday,January,2021,2021Q1,1
2021-01-03,Sunday,January,2021,2021Q1,1
2021-01-04,Monday,January,2021,2021Q1,0
2021-01-05,Tuesday,January,2021,2021Q1,0
2021-01-06,Wednesday,January,2021,2021Q1,0
2021-01-07,Thursday,January,2021,2021Q1,0
2021-01-08,Friday,January,2021,2021Q1,0
2021-01-09,Saturday,January,2021,2021Q1,1
2021-01-10,Sunday,January,2021,2021Q1,1
2021-01-11,Monday,January,2021,2021Q1,0
2021-01-12,Tuesday,January,2021,2021Q1,0
2021-01-13,Wednesday,January,2021,2021Q1,0
2021-01-14,Thursday,January,2021,2021Q1,0
2021-01-15,Friday,January,2021,2021Q1,0
2021-01-16,Saturday,January,2021,2021Q1,1
2021-01-17,Sunday,January,2021,2021Q1,1
2021-01-18,Monday,January,2021,2021Q1,0
2021-01-19,Tuesday,January,2021,2021Q1,0
2021-01-20,Wednesday,January,2021,2021Q1,0
2021-01-21,Thursday,January,2021,2021Q1,0
2021-01-22,Friday,January,2021,2021Q1,0
2021-01-23,Saturday,January,2021,2021Q1,1
2021-01-24,Sunday,January,2021,2021Q1,1
2021-01-25,Monday,January,2021,2021Q1,0
2021-01-26,Tuesday,January,2021,2021Q1,0
2021-01-27,Wednesday,January,2021,2021Q1,0
2021-01-28,Thursday,January,2021,2021Q1,0
2021-01-29,Friday,January,2021,2021Q1,0
2021-01-30,Saturday,January,2021,2021Q1,1
2021-01-31,Sunday,January,2021,2021Q1,1
2021-02-01,Monday,February,2021,2021Q1,0
2021-02-02,Tuesday,February,2021,2021Q1,0
2021-02-03,Wednesday,February,2021,2021Q1,0
2021-02-04,Thursday,February,2021,2021Q1,0
2021-02-05,Friday,February,2021,2021Q1,0
2021-02-06,Saturday,February,2021,2021Q1,1
2021-02-07,Sunday,February,2021,2021Q1,1
2021-02-08,Monday,February,2021,2021Q1,0
2021-02-09,Tuesday,February,2021,2021Q1,0
2021-02-10,Wednesday,February,2021,2021Q1,0
2021-02-11,Thursday,February,2021,2021Q1,0
2021-02-12,Friday,February,2021,2021Q1,0
2021-02-13,Saturday,February,2021,2021Q1,1
2021-02-14,Sunday,February,2021,2021Q1,1
2021-02-15,Monday,February,2021,2021Q1,0
2021-02-16,Tuesday,February,2021,2021Q1,0
2021-02-17,Wednesday,February,2021,2021Q1,0
2021-02-18,Thursday,February,2021,2021Q1,0
2021-02-19,Friday,February,2021,2021Q1,0
2021-02-20,Saturday,February,2021,2021Q1,1
2021-02-21,Sunday,February,2021,2021Q1,1
2021-02-22,Monday,February,2021,2021Q1,0
2021-02-23,Tuesday,February,2021,2021Q1,0
2021-02-24,Wednesday,February,2021,2021Q1,0
2021-02-25,Thursday,February,2021,2021Q1,0
2021-02-26,Friday,February,2021,2021Q1,0
2021-02-27,Saturday,February,2021,2021Q1,1
2021-02-28,Sunday,February,2021,2021Q1,1
2021-03-01,Monday,March,2021,2021Q1,0
2021-03-02,Tuesday,March,2021,2021Q1,0
2021-03-03,Wednesday,March,2021,2021Q1,0
2021-03-04,Thursday,March,2021,2021Q1,0
2021-03-05,Friday,March,2021,2021Q1,0
2021-03-06,Saturday,March,2021,2021Q1,1
2021-03-07,Sunday,March,2021,2021Q1,1
2021-03-08,Monday,March,2021,2021Q1,0
2021-03-09,Tuesday,March,2021,2021Q1,0
2021-03-10,Wednesday,March,2021,2021Q1,0
2021-03-11,Thursday,March,2021,2021Q1,0
2021-03-12,Friday,March,2021,2021Q1,0
2021-03-13,Saturday,March,2021,2021Q1,1
2021-03-14,Sunday,March,2021,2021Q1,1
2021-03-15,Monday,March,2021,2021Q1,0
2021-03-16,Tuesday,March,2021,2021Q1,0
2021-03-17,Wednesday,March,2021,2021Q1,0
2021-03-18,Thursday,March,2021,2021Q1,0
2021-03-19,Friday,March,2021,2021Q1,0
2021-03-20,Saturday,March,2021,2021Q1,1
2021-03-21,Sunday,March,2021,2021Q1,1
2021-03-22,Monday,March,2021,2021Q1,0
2021-03-23,Tuesday,March,2021,2021Q1,0
2021-03-24,Wednesday,March,2021,2021Q1,0
2021-03-25,Thursday,March,2021,2021Q1,0
2021-03-26,Friday,March,2021,2021Q1,0
2021-03-27,Saturday,March,2021,2021Q1,1
2021-03-28,Sunday,March,2021,2021Q1,1
2021-03-29,Monday,March,2021,2021Q1,0
2021-03-30,Tuesday,March,2021,2021Q1,0
2021-03-31,Wednesday,March,2021,2021Q1,0
2021-04-01,Thursday,April,2021,2021Q2,0
2021-04-02,Friday,April,2021,2021Q2,0
2021-04-03,Saturday,April,2021,2021Q2,1
2021-04-04,Sunday,April,2021,2021Q2,1
2021-04-05,Monday,April,2021,2021Q2,0
2021-04-06,Tuesday,April,2021,2021Q2,0
2021-04-07,Wednesday,April,2021,2021Q2,0
2021-04-08,Thursday,April,2021,2021Q2,0
2021-04-09,Friday,April,2021,2021Q2,0
2021-04-10,Saturday,April,2021,2021Q2,1
2021-04-11,Sunday,April,2021,2021Q2,1
2021-04-12,Monday,April,2021,2021Q2,0
2021-04-13,Tuesday,April,2021,2021Q2,0
2021-04-14,Wednesday,April,2021,2021Q2,0
2021-04-15,Thursday,April,2021,2021Q2,0
2021-04-16,Friday,April,2021,2021Q2,0
2021-04-17,Saturday,April,2021,2021Q2,1
2021-04-18,Sunday,April,2021,2021Q2,1
2021-04-19,Monday,April,2021,2021Q2,0
2021-04-20,Tuesday,April,2021,2021Q2,0
2021-04-21,Wednesday,April,2021,2021Q2,0
2021-04-22,Thursday,April,2021,2021Q2,0
2021-04-23,Friday,April,2021,2021Q2,0
2021-04-24,Saturday,April,2021,2021Q2,1
2021-04-25,Sunday,April,2021,2021Q2,1
2021-04-26,Monday,April,2021,2021Q2,0
2021-04-27,Tuesday,April,2021,2021Q2,0
2021-04-28,Wednesday,April,2021,2021Q2,0
2021-04-29,Thursday,April,2021,2021Q2,0
2021-04-30,Friday,April,2021,2021Q2,0
2021-05-01,Saturday,May,2021,2021Q2,1
2021-05-02,Sunday,May,2021,2021Q2,1
2021-05-03,Monday,May,2021,2021Q2,0
2021-05-04,Tuesday,May,2021,2021Q2,0
2021-05-05,Wednesday,May,2021,2021Q2,0
2021-05-06,Thursday,May,2021,2021Q2,0
2021-05-07,Friday,May,2021,2021Q2,0
2021-05-08,Saturday,May,2021,2021Q2,1
2021-05-09,Sunday,May,2021,2021Q2,1
2021-05-10,Monday,May,2021,2021Q2,0
2021-05-11,Tuesday,May,2021,2021Q2,0
2021-05-12,Wednesday,May,2021,2021Q2,0
2021-05-13,Thursday,May,2021,2021Q2,0
2021-05-14,Friday,May,2021,2021Q2,0
2021-05-15,Saturday,May,2021,2021Q2,1
2021-05-16,Sunday,May,2021,2021Q2,1
2021-05-17,Monday,May,2021,2021Q2,0
2021-05-18,Tuesday,May,2021,2021Q2,0
2021-05-19,Wednesday,May,2021,2021Q2,0
2021-05-20,Thursday,May,2021,2021Q2,0
2021-05-21,Friday,May,2021,2021Q2,0
2021-05-22,Saturday,May,2021,2021Q2,1
2021-05-23,Sunday,May,2021,2021Q2,1
2021-05-24,Monday,May,2021,2021Q2,0
2021-05-25,Tuesday,May,2021,2021Q2,0
2021-05-26,Wednesday,May,2021,2021Q2,0
2021-05-27,Thursday,May,2021,2021Q2,0
2021-05-28,Friday,May,2021,2021Q2,0
2021-05-29,Saturday,May,2021,2021Q2,1
2021-05-30,Sunday,May,2021,2021Q2,1
2021-05-31,Monday,May,2021,2021Q2,0
2021-06-01,Tuesday,June,2021,2021Q2,0
2021-06-02,Wednesday,June,2021,2021Q2,0
2021-06-03,Thursday,June,2021,2021Q2,0
2021-06-04,Friday,June,2021,2021Q2,0
2021-06-05,Saturday,June,2021,2021Q2,1
2021-06-06,Sunday,June,2021,2021Q2,1
2021-06-07,Monday,June,2021,2021Q2,0
2021-06-08,Tuesday,June,2021,2021Q2,0
2021-06-09,Wednesday,June,2021,2021Q2,0
2021-06-10,Thursday,June,2021,2021Q2,0
2021-06-11,Friday,June,2021,2021Q2,0
2021-06-12,Saturday,June,2021,2021Q2,1
2021-06-13,Sunday,June,2021,2021Q2,1
2021-06-14,Monday,June,2021,2021Q2,0
2021-06-15,Tuesday,June,2021,2021Q2,0
2021-06-16,Wednesday,June,2021,2021Q2,0
2021-06-17,Thursday,June,2021,2021Q2,0
2021-06-18,Friday,June,2021,2021Q2,0
2021-06-19,Saturday,June,2021,2021Q2,1
2021-06-20,Sunday,June,2021,2021Q2,1
2021-06-21,Monday,June,2021,2021Q2,0
2021-06-22,Tuesday,June,2021,2021Q2,0
2021-06-23,Wednesday,June,2021,2021Q2,0
2021-06-24,Thursday,June,2021,2021Q2,0
2021-06-25,Friday,June,2021,2021Q2,0
2021-06-26,Saturday,June,2021,2021Q2,1
2021-06-27,Sunday,June,2021,2021Q2,1
2021-06-28,Monday,June,2021,2021Q2,0
2021-06-29,Tuesday,June,2021,2021Q2,0
2021-06-30,Wednesday,June,2021,2021Q2,0
2021-07-01,Thursday,July,2021,2021Q3,0
2021-07-02,Friday,July,2021,2021Q3,0
2021-07-03,Saturday,July,2021,2021Q3,1
2021-07-04,Sunday,July,2021,2021Q3,1
2021-07-05,Monday,July,2021,2021Q3,0
2021-07-06,Tuesday,July,2021,2021Q3,0
2021-07-07,Wednesday,July,2021,2021Q3,0
2021-07-08,Thursday,July,2021,2021Q3,0
2021-07-09,Friday,July,2021,2021Q3,0
2021-07-10,Saturday,July,2021,2021Q3,1
2021-07-11,Sunday,July,2021,2021Q3,1
