invoice_no,category,item,quantity,price,location_id,customer_id,invoice_date,payment_id
100029,Skin Care,Lip Balm,4,11.53,19,919,2024-09-02,8
100030,Skin Care,Lip Balm,1,10.28,31,379,2020-08-26,2
100031,Body Care and Hygiene,Hand Sanitizer,4,7.83,26,37,2022-09-23,8
100032,Hair Care,Shampoo,2,17.87,26,303,2020-08-11,5
100033,Hair Care,Conditioner,1,25.65,33,715,2024-03-10,5
100034,Skin Care,Lip Balm,2,62.69,32,124,2024-06-07,1
100035,Skin Care,Lip Balm,3,49.31,51,889,2023-01-07,1
100036,Oral Care,Toothpaste,4,17.74,49,649,2021-03-12,8
100037,Skin Care,Face Wash,4,27.08,10,520,2024-09-18,5
100038,Body Care and Hygiene,Body Lotion,3,24.64,5,234,2024-08-29,6
100039,Body Care and Hygiene,Body Lotion,4,13.93,12,331,2022-06-20,2
100040,Hair Care,Conditioner,2,46.87,46,791,2022-03-06,9
100041,Body Care and Hygiene,Deodorant,1,16.56,5,131,2022-03-08,9
100042,Body Care and Hygiene,Body Lotion,4,24.87,4,911,2024-05-17,8
100043,Skin Care,Sunscreen,4,43.14,19,675,2022-11-03,7
100044,Body Care and Hygiene,Deodorant,3,26.93,35,404,2024-06-14,10
100045,Oral Care,Mouthwash,1,14.64,32,496,2022-04-25,3
100046,Hair Care,Conditioner,4,45.04,12,735,2021-05-18,1
100047,Skin Care,Face Wash,1,77.83,22,127,2023-10-17,2
100048,Oral Care,Toothpaste,2,4.29,58,969,2023-01-14,4
100049,Hair Care,Conditioner,1,41.97,29,424,2022-07-11,3
100050,Body Care and Hygiene,Hand Sanitizer,1,12.66,38,337,2021-02-10,10
100051,Body Care and Hygiene,Hand Sanitizer,1,17.89,16,354,2022-02-20,10
100052,Body Care and Hygiene,Body Lotion,2,10.88,10,344,2022-06-26,7
100053,Skin Care,Sunscreen,2,98.3,8,579,2024-08-11,6
100054,Skin Care,Moisturizer,4,74.46,3,81,2021-07-10,2
100055,Body Care and Hygiene,Deodorant,1,15.96,43,857,2022-10-02,4
100056,Skin Care,Lip Balm,3,30.45,40,605,2020-06-03,3
100057,Body Care and Hygiene,Hand Sanitizer,3,16.09,33,208,2020-11-26,7
100058,Skin Care,Lip Balm,3,80.08,15,627,2022-02-01,7
100059,Hair Care,Shampoo,4,20.61,11,519,2020-01-09,6
100060,Oral Care,Toothpaste,4,12.74,28,239,2024-09-14,4
100061,Hair Care,Hair Oil,2,30.95,28,344,2022-05-24,1
100062,Oral Care,Mouthwash,1,9.97,41,714,2022-02-19,9
100063,Skin Care,Moisturizer,4,39.87,13,139,2020-07-04,6
100064,Hair Care,Hair Oil,1,13.6,33,694,2020-10-12,9
100065,Body Care and Hygiene,Body Lotion,3,5.08,20,729,2024-01-22,1
100066,Body Care and Hygiene,Body Lotion,3,12.16,59,753,2021-08-04,6
100067,Skin Care,Face Wash,4,79.99,25,558,2022-01-29,4
100068,Skin Care,Sunscreen,2,34.68,8,781,2022-05-02,10
100069,Skin Care,Face Wash,2,20.4,40,149,2024-07-06,5
100070,Oral Care,Mouthwash,3,13.76,49,344,2022-10-14,6
100071,Body Care and Hygiene,Body Lotion,1,6.67,11,341,2021-06-15,6
100072,Oral Care,Mouthwash,4,10.9,12,598,2020-01-10,2
100073,Body Care and Hygiene,Hand Sanitizer,1,13.11,15,68,2022-10-06,5
100074,Body Care and Hygiene,Hand Sanitizer,1,28.75,3,414,2022-07-18,5
100075,Body Care and Hygiene,Body Lotion,3,13.24,59,939,2024-11-03,6
100076,Oral Care,Mouthwash,2,6.29,31,489,2024-03-07,9
100077,Hair Care,Shampoo,4,26.4,60,586,2021-05-07,9
100078,Hair Care,Conditioner,4,7.14,23,276,2024-05-01,5
100079,Hair Care,Conditioner,3,13.68,35,708,2024-05-06,9
100080,Hair Care,Conditioner,4,10.33,47,640,2022-05-05,1
100081,Skin Care,Sunscreen,1,41.38,18,63,2023-04-01,2
100082,Skin Care,Face Wash,3,15.88,58,455,2023-04-09,8
100083,Body Care and Hygiene,Body Lotion,3,29.95,2,807,2024-04-04,6
100084,Skin Care,Lip Balm,2,30.06,31,887,2023-02-16,8
100085,Skin Care,Moisturizer,1,10.73,35,785,2021-12-30,3
100086,Hair Care,Hair Oil,1,23.81,46,824,2024-01-19,2
100087,Body Care and Hygiene,Deodorant,3,7.8,53,402,2024-08-30,5
100088,Body Care and Hygiene,Body Lotion,1,7.47,34,725,2020-06-12,6
100089,Skin Care,Sunscreen,4,99.93,54,72,2020-04-01,1
100090,Body Care and Hygiene,Body Lotion,2,20.74,13,571,2024-02-12,2
100091,Hair Care,Hair Oil,3,43.5,19,405,2020-11-20,3
100092,Hair Care,Hair Oil,1,48.38,59,759,2022-01-01,3
100093,Hair Care,Shampoo,1,33.0,46,918,2020-06-28,3
100094,Oral Care,Toothpaste,1,3.48,38,74,2022-02-25,9
100095,Skin Care,Lip Balm,2,89.71,17,770,2021-02-18,10
100096,Skin Care,Moisturizer,1,68.64,27,256,2021-01-28,8
100097,Skin Care,Face Wash,1,74.91,46,252,2021-04-10,8
100098,Skin Care,Moisturizer,2,56.75,15,342,2024-04-21,6
100099,Body Care and Hygiene,Deodorant,4,4.46,17,698,2023-05-07,5
100100,Hair Care,Hair Oil,3,20.32,60,588,2022-09-15,10
100101,Skin Care,Lip Balm,1,91.61,18,912,2021-07-19,1
100102,Hair Care,Conditioner,2,37.1,44,309,2020-01-11,3
100103,Body Care and Hygiene,Hand Sanitizer,3,8.83,55,919,2020-05-13,8
100104,Body Care and Hygiene,Deodorant,4,13.53,29,667,2023-07-22,7
100105,Skin Care,Moisturizer,3,17.43,38,816,2023-12-16,3
100106,Oral Care,Mouthwash,4,17.96,53,817,2021-08-29,8
100107,Body Care and Hygiene,Deodorant,2,8.12,51,637,2021-11-06,4
100108,Oral Care,Mouthwash,2,5.51,41,873,2023-07-17,1
100109,Oral Care,Mouthwash,2,2.88,14,221,2020-07-25,8
100110,Body Care and Hygiene,Deodorant,4,23.06,58,695,2023-04-10,3
100111,Oral Care,Toothpaste,1,4.24,14,83,2025-01-23,2
100112,Body Care and Hygiene,Body Lotion,3,3.71,4,527,2021-01-02,6
100113,Body Care and Hygiene,Deodorant,1,3.02,30,70,2020-03-02,10
100114,Oral Care,Mouthwash,3,4.56,56,117,2020-12-13,7
100115,Hair Care,Conditioner,1,26.32,26,181,2024-03-30,1
100116,Skin Care,Sunscreen,3,75.2,27,794,2022-02-19,4
100117,Skin Care,Face Wash,3,99.08,21,535,2024-08-10,3
100118,Skin Care,Moisturizer,4,94.88,5,680,2021-12-25,10
100119,Body Care and Hygiene,Body Lotion,4,8.8,17,947,2021-12-12,7
100120,Body Care and Hygiene,Body Lotion,4,4.3,24,512,2022-07-04,10
100121,Skin Care,Lip Balm,4,54.26,23,228,2020-08-04,9
100122,Oral Care,Toothpaste,4,9.31,6,276,2024-03-13,8
100123,Skin Care,Lip Balm,3,93.56,18,79,2020-07-26,9
100124,Skin Care,Sunscreen,1,72.35,27,441,2024-10-07,6
100125,Body Care and Hygiene,Body Lotion,1,20.53,17,816,2023-04-18,7
100126,Body Care and Hygiene,Deodorant,4,29.81,10,328,2020-03-30,10
100127,Hair Care,Hair Oil,2,49.54,58,713,2022-04-28,5
100128,Hair Care,Conditioner,2,10.73,3,704,2021-04-27,9
100129,Oral Care,Mouthwash,3,9.93,5,269,2022-12-07,6
100130,Body Care and Hygiene,Hand Sanitizer,4,18.78,36,998,2022-01-20,2
100131,Hair Care,Shampoo,2,6.4,8,842,2021-06-22,4
100132,Hair Care,Conditioner,3,12.03,43,454,2022-11-05,8
100133,Oral Care,Toothpaste,4,18.74,27,640,2023-09-24,9
100134,Skin Care,Sunscreen,3,83.98,57,198,2020-05-09,8
100135,Oral Care,Toothpaste,2,16.5,60,818,2022-02-10,6
100136,Body Care and Hygiene,Deodorant,2,12.14,48,271,2024-09-27,9
100137,Hair Care,Shampoo,1,26.21,38,89,2023-07-06,10
100138,Oral Care,Toothpaste,1,15.58,35,818,2022-06-24,9
100139,Body Care and Hygiene,Body Lotion,1,20.2,35,553,2022-11-02,1
100140,Body Care and Hygiene,Deodorant,2,15.63,45,814,2024-07-19,2
100141,Hair Care,Shampoo,3,39.23,30,79,2023-08-11,7
100142,Skin Care,Moisturizer,2,31.56,34,833,2021-07-20,7
100143,Hair Care,Conditioner,1,20.04,8,96,2020-02-29,6
100144,Body Care and Hygiene,Body Lotion,1,21.15,42,302,2024-03-17,7
100145,Oral Care,Mouthwash,4,16.0,55,469,2023-07-27,6
100146,Body Care and Hygiene,Hand Sanitizer,2,23.33,11,99,2023-09-15,6
100147,Body Care and Hygiene,Deodorant,1,21.35,27,927,2023-10-26,2
100148,Body Care and Hygiene,Deodorant,4,19.27,18,786,2020-01-04,1
100149,Skin Care,Sunscreen,2,70.35,35,929,2023-06-19,6
100150,Oral Care,Toothpaste,3,12.77,50,149,2024-11-01,10
100151,Hair Care,Hair Oil,2,8.63,12,537,2021-08-06,9
100152,Hair Care,Shampoo,4,33.91,53,366,2023-02-28,10
100153,Oral Care,Toothpaste,1,14.15,11,85,2022-04-06,8
100154,Body Care and Hygiene,Deodorant,4,24.96,9,464,2023-08-24,9
100155,Oral Care,Mouthwash,3,5.72,6,811,2024-01-08,4
100156,Skin Care,Face Wash,2,51.1,32,626,2022-04-27,3
100157,Hair Care,Shampoo,4,45.7,9,895,2022-09-13,10
100158,Hair Care,Shampoo,3,15.75,29,847,2021-02-15,3
100159,Hair Care,Hair Oil,2,10.15,26,476,2021-05-24,7
100160,Skin Care,Face Wash,4,61.02,59,455,2021-06-24,5
100161,Skin Care,Lip Balm,3,21.0,55,804,2021-12-29,8
100162,Body Care and Hygiene,Deodorant,2,14.54,40,280,2022-11-24,4
100163,Hair Care,Hair Oil,2,41.75,37,495,2022-07-31,5
100164,Skin Care,Face Wash,4,63.82,33,213,2025-02-12,10
100165,Skin Care,Lip Balm,2,30.12,16,615,2023-06-17,6
100166,Hair Care,Shampoo,1,41.16,7,99,2022-03-31,4
100167,Skin Care,Face Wash,2,54.78,23,243,2023-03-08,1
100168,Body Care and Hygiene,Body Lotion,3,16.49,39,188,2024-02-24,8
100169,Oral Care,Toothpaste,4,19.65,19,37,2024-11-25,10
100170,Hair Care,Shampoo,4,8.94,58,89,2021-09-16,5
100171,Skin Care,Lip Balm,1,30.06,8,19,2020-10-02,3
100172,Skin Care,Sunscreen,1,42.53,37,954,2023-10-30,7
100173,Body Care and Hygiene,Body Lotion,4,4.49,28,727,2023-06-10,5
100174,Skin Care,Face Wash,1,28.56,49,866,2023-10-04,9
100175,Body Care and Hygiene,Body Lotion,3,20.95,45,72,2020-07-06,1
100176,Oral Care,Toothpaste,3,13.1,6,792,2021-02-19,3
100177,Oral Care,Toothpaste,4,15.97,15,125,2024-10-10,7
100178,Body Care and Hygiene,Hand Sanitizer,4,9.44,37,361,2022-11-23,3
100179,Hair Care,Conditioner,4,49.81,31,75,2023-01-07,5
100180,Oral Care,Mouthwash,2,8.11,41,423,2020-01-21,10
100181,Body Care and Hygiene,Deodorant,4,14.36,3,203,2021-10-01,4
100182,Oral Care,Toothpaste,2,17.4,43,701,2024-03-03,1
100183,Skin Care,Moisturizer,2,27.38,40,913,2023-09-07,2
100184,Skin Care,Face Wash,4,86.06,37,551,2024-01-02,1
100185,Hair Care,Shampoo,2,28.78,1,209,2022-03-15,3
100186,Skin Care,Moisturizer,3,42.99,34,317,2022-05-03,4
100187,Body Care and Hygiene,Body Lotion,2,14.37,43,291,2021-11-29,7
100188,Oral Care,Toothpaste,4,8.95,18,796,2021-06-30,9
100189,Oral Care,Mouthwash,4,13.0,44,436,2021-10-20,10
100190,Oral Care,Mouthwash,4,10.91,23,115,2021-03-15,10
100191,Skin Care,Face Wash,2,82.43,41,288,2022-01-20,1
100192,Body Care and Hygiene,Hand Sanitizer,4,19.0,7,334,2021-05-31,7
100193,Hair Care,Hair Oil,2,37.67,19,64,2021-01-20,1
100194,Skin Care,Sunscreen,4,68.97,14,405,2024-05-29,3
100195,Skin Care,Moisturizer,4,83.97,10,711,2020-09-29,8
100196,Hair Care,Shampoo,3,26.08,21,314,2022-07-09,6
100197,Oral Care,Mouthwash,2,18.2,3,660,2025-01-14,5
100198,Body Care and Hygiene,Body Lotion,1,27.22,23,566,2025-01-06,1
100199,Oral Care,Mouthwash,4,12.27,47,945,2021-12-29,8
100200,Oral Care,Mouthwash,4,17.57,35,707,2021-07-24,4
100201,Body Care and Hygiene,Body Lotion,1,21.62,11,712,2021-01-15,7
100202,Hair Care,Conditioner,1,22.19,20,667,2024-06-18,4
100203,Body Care and Hygiene,Hand Sanitizer,2,22.78,26,359,2024-09-02,7
100204,Body Care and Hygiene,Deodorant,4,7.94,47,385,2024-11-28,6
100205,Hair Care,Conditioner,4,16.14,24,482,2021-11-29,7
100206,Oral Care,Toothpaste,2,17.83,40,925,2023-03-28,7
100207,Hair Care,Hair Oil,1,31.33,17,550,2021-09-09,2
100208,Oral Care,Mouthwash,1,11.05,4,96,2022-12-24,9
100209,Oral Care,Mouthwash,4,9.22,20,64,2024-08-02,8
100210,Skin Care,Lip Balm,3,78.0,54,217,2023-08-05,5
100211,Hair Care,Shampoo,2,40.74,24,609,2024-04-07,7
100212,Skin Care,Sunscreen,1,12.08,4,27,2024-01-01,3
100213,Hair Care,Conditioner,4,27.58,16,568,2024-09-28,10
100214,Skin Care,Face Wash,2,31.49,7,206,2021-06-23,6
100215,Oral Care,Mouthwash,4,18.16,56,379,2021-04-09,7
100216,Body Care and Hygiene,Body Lotion,4,6.46,49,954,2022-09-06,4
100217,Skin Care,Face Wash,3,78.8,2,852,2021-10-02,7
100218,Oral Care,Toothpaste,1,2.72,20,828,2020-04-11,6
100219,Oral Care,Mouthwash,4,4.6,54,942,2021-02-12,6
100220,Skin Care,Moisturizer,2,46.62,36,353,2024-07-15,1
100221,Body Care and Hygiene,Deodorant,1,28.19,45,165,2022-08-08,9
100222,Hair Care,Shampoo,3,28.38,52,242,2024-04-10,6
100223,Skin Care,Lip Balm,4,94.46,5,638,2021-08-07,5
100224,Skin Care,Face Wash,1,98.09,16,955,2023-02-01,1
100225,Skin Care,Moisturizer,2,63.06,47,779,2024-05-16,6
100226,Skin Care,Sunscreen,1,93.96,29,3,2022-05-14,6
100227,Body Care and Hygiene,Hand Sanitizer,1,9.95,57,783,2020-08-14,2
100228,Hair Care,Shampoo,1,23.33,21,783,2020-02-29,2
100229,Body Care and Hygiene,Deodorant,1,22.1,36,856,2020-01-10,9
100230,Body Care and Hygiene,Deodorant,4,28.6,2,258,2020-08-16,10
100231,Skin Care,Lip Balm,4,62.75,46,384,2020-02-14,5
100232,Body Care and Hygiene,Hand Sanitizer,1,27.39,53,358,2023-02-14,5
100233,Hair Care,Conditioner,3,24.64,14,232,2021-08-11,8
100234,Body Care and Hygiene,Hand Sanitizer,3,13.26,56,20,2024-08-07,7
100235,Body Care and Hygiene,Body Lotion,1,29.3,50,419,2021-03-24,7
100236,Hair Care,Shampoo,3,26.41,28,27,2021-04-29,10
100237,Skin Care,Lip Balm,3,79.13,56,122,2021-06-14,4
100238,Oral Care,Mouthwash,3,18.87,34,152,2020-12-31,10
100239,Hair Care,Conditioner,4,23.27,50,225,2023-04-01,5
100240,Hair Care,Conditioner,2,14.52,13,792,2022-07-06,3
100241,Body Care and Hygiene,Deodorant,2,6.85,43,848,2022-09-29,6
100242,Body Care and Hygiene,Deodorant,2,9.96,16,484,2020-04-27,6
100243,Body Care and Hygiene,Hand Sanitizer,3,26.15,48,638,2021-08-17,10
100244,Body Care and Hygiene,Body Lotion,1,11.99,16,76,2022-10-21,9
100245,Skin Care,Sunscreen,2,42.94,33,27,2020-05-05,5
100246,Hair Care,Conditioner,4,44.0,36,383,2024-03-21,6
100247,Hair Care,Conditioner,4,13.56,30,120,2024-02-14,9
100248,Skin Care,Sunscreen,1,38.95,48,378,2022-11-09,2
100249,Body Care and Hygiene,Hand Sanitizer,1,28.88,38,730,2021-02-16,6
100250,Hair Care,Hair Oil,1,41.4,29,462,2020-02-14,6
100251,Skin Care,Moisturizer,3,82.92,1,911,2023-08-02,1
100252,Body Care and Hygiene,Deodorant,1,4.94,53,372,2023-05-12,9
100253,Body Care and Hygiene,Deodorant,2,23.23,43,381,2020-08-27,7
100254,Skin Care,Face Wash,2,51.4,16,925,2022-02-26,1
100255,Body Care and Hygiene,Body Lotion,2,24.71,23,410,2023-02-18,3
100256,Oral Care,Toothpaste,2,8.71,33,659,2023-05-21,7
100257,Skin Care,Face Wash,3,76.33,26,568,2020-08-06,8
100258,Body Care and Hygiene,Deodorant,2,26.62,13,672,2022-07-23,1
100259,Body Care and Hygiene,Hand Sanitizer,2,22.71,54,602,2020-03-16,8
100260,Oral Care,Toothpaste,2,9.6,28,263,2023-11-10,9
100261,Skin Care,Lip Balm,3,61.26,4,19,2022-11-10,3
100262,Hair Care,Conditioner,3,12.89,49,17,2022-04-20,10
100263,Body Care and Hygiene,Deodorant,2,4.93,36,390,2020-11-13,4
100264,Oral Care,Toothpaste,3,19.55,21,606,2020-09-06,8
100265,Body Care and Hygiene,Body Lotion,2,29.92,43,801,2021-08-19,6
100266,Body Care and Hygiene,Deodorant,4,17.82,44,494,2024-07-29,1
100267,Body Care and Hygiene,Body Lotion,3,29.84,6,563,2024-05-19,3
100268,Body Care and Hygiene,Hand Sanitizer,1,6.17,33,237,2023-11-23,7
100269,Oral Care,Toothpaste,1,2.88,25,683,2022-10-01,1
100270,Skin Care,Lip Balm,4,96.39,46,572,2022-11-27,5
100271,Body Care and Hygiene,Deodorant,1,14.86,24,419,2020-08-21,3
100272,Oral Care,Mouthwash,2,5.89,16,663,2020-03-05,1
100273,Body Care and Hygiene,Body Lotion,4,26.35,40,604,2024-12-09,6
100274,Skin Care,Lip Balm,1,28.01,23,868,2020-07-31,1
100275,Body Care and Hygiene,Hand Sanitizer,4,29.11,48,688,2023-01-20,7
100276,Skin Care,Lip Balm,2,12.22,13,854,2025-01-16,7
100277,Skin Care,Lip Balm,3,12.02,26,43,2024-09-12,7
100278,Body Care and Hygiene,Hand Sanitizer,3,11.45,9,117,2023-09-19,5
100279,Skin Care,Face Wash,2,20.42,45,549,2020-03-27,1
100280,Skin Care,Face Wash,3,51.69,34,361,2021-05-29,5
100281,Oral Care,Toothpaste,3,10.1,1,976,2022-08-26,5
100282,Hair Care,Shampoo,4,45.12,24,712,2024-05-29,4
100283,Hair Care,Hair Oil,3,30.76,19,264,2022-08-02,3
100284,Skin Care,Moisturizer,4,70.6,8,942,2024-05-20,1
100285,Skin Care,Face Wash,3,50.69,10,481,2020-10-18,9
100286,Oral Care,Mouthwash,1,11.39,31,304,2021-02-07,8
100287,Skin Care,Sunscreen,3,49.77,46,454,2022-02-04,1
100288,Hair Care,Shampoo,2,13.94,39,866,2023-08-26,9
100289,Hair Care,Conditioner,4,38.3,44,224,2021-06-01,4
100290,Oral Care,Mouthwash,3,9.1,12,916,2023-04-07,1
100291,Skin Care,Moisturizer,3,69.59,49,934,2021-11-03,1
100292,Hair Care,Hair Oil,4,7.57,14,659,2022-03-14,5
100293,Skin Care,Sunscreen,3,27.16,31,231,2021-02-09,6
100294,Hair Care,Conditioner,1,25.09,53,463,2021-11-01,3
100295,Oral Care,Toothpaste,3,14.09,8,815,2020-02-22,2
100296,Skin Care,Lip Balm,2,84.14,51,459,2023-12-02,3
100297,Hair Care,Shampoo,1,48.8,25,506,2022-01-27,8
100298,Oral Care,Toothpaste,3,3.26,29,893,2023-07-05,5
100299,Hair Care,Hair Oil,4,43.2,41,205,2023-07-18,1
100300,Oral Care,Mouthwash,2,6.65,22,763,2022-12-05,5
100301,Hair Care,Conditioner,1,13.3,48,790,2021-10-17,9
100302,Skin Care,Face Wash,2,40.74,1,426,2024-12-14,2
100303,Skin Care,Face Wash,3,85.78,57,927,2024-08-04,5
100304,Skin Care,Moisturizer,2,65.52,50,884,2024-04-25,4
100305,Oral Care,Toothpaste,4,2.23,17,392,2024-09-30,10
100306,Hair Care,Shampoo,4,39.12,12,895,2021-09-17,2
100307,Hair Care,Hair Oil,1,47.63,18,513,2023-05-09,9
100308,Hair Care,Shampoo,1,45.31,54,783,2024-09-12,1
100309,Hair Care,Hair Oil,2,46.21,19,224,2024-05-18,7
100310,Hair Care,Hair Oil,2,15.59,1,328,2024-12-01,6
100311,Hair Care,Hair Oil,2,12.98,1,216,2023-11-29,6
100312,Oral Care,Mouthwash,1,5.86,38,19,2023-07-27,2
100313,Hair Care,Shampoo,1,47.07,45,712,2023-12-25,4
100314,Skin Care,Face Wash,1,71.53,28,261,2024-07-12,1
100315,Oral Care,Mouthwash,1,3.6,42,223,2021-07-14,9
100316,Skin Care,Moisturizer,3,45.14,29,164,2021-12-21,6
100317,Skin Care,Face Wash,2,63.05,8,52,2020-12-06,7
100318,Oral Care,Toothpaste,2,3.13,5,121,2023-01-10,8
100319,Skin Care,Lip Balm,3,93.73,34,617,2024-05-26,8
100320,Hair Care,Hair Oil,1,47.58,18,398,2023-11-10,2
100321,Oral Care,Mouthwash,4,16.64,19,476,2024-09-29,9
100322,Oral Care,Mouthwash,4,13.43,12,918,2024-02-15,3
100323,Skin Care,Sunscreen,4,47.01,49,736,2023-12-20,7
100324,Skin Care,Lip Balm,4,64.22,35,144,2021-06-23,5
100325,Skin Care,Moisturizer,2,83.36,8,573,2020-10-07,6
100326,Skin Care,Moisturizer,3,14.54,10,724,2022-11-17,5
100327,Hair Care,Conditioner,3,36.79,35,318,2023-07-14,2
100328,Skin Care,Lip Balm,1,70.54,8,61,2021-12-08,10
100329,Hair Care,Hair Oil,3,8.66,3,73,2020-12-28,6
100330,Hair Care,Conditioner,1,10.35,41,171,2024-12-08,10
100331,Body Care and Hygiene,Deodorant,4,27.51,35,115,2024-03-18,8
100332,Hair Care,Hair Oil,4,22.34,42,809,2020-10-24,7
100333,Oral Care,Toothpaste,4,15.22,28,320,2020-03-02,2
100334,Hair Care,Hair Oil,1,24.62,30,656,2021-07-21,3
100335,Skin Care,Face Wash,2,99.42,23,458,2023-05-03,9
100336,Oral Care,Mouthwash,1,3.76,57,921,2024-03-08,3
100337,Hair Care,Shampoo,1,39.76,23,266,2021-12-21,7
100338,Body Care and Hygiene,Deodorant,1,29.31,16,713,2024-06-22,7
100339,Skin Care,Face Wash,4,55.65,37,939,2023-09-13,1
100340,Oral Care,Mouthwash,3,16.57,52,65,2020-06-17,2
100341,Oral Care,Mouthwash,4,7.34,11,902,2022-08-26,8
100342,Hair Care,Hair Oil,2,23.02,36,150,2024-06-01,6
100343,Skin Care,Lip Balm,4,53.93,7,984,2021-01-20,5
100344,Body Care and Hygiene,Body Lotion,1,11.34,48,725,2020-06-15,5
100345,Body Care and Hygiene,Body Lotion,3,6.61,25,343,2020-09-28,9
100346,Body Care and Hygiene,Hand Sanitizer,1,13.55,13,868,2024-09-22,7
100347,Oral Care,Toothpaste,2,18.3,57,638,2024-09-17,5
100348,Skin Care,Lip Balm,2,52.46,5,655,2023-04-19,9
100349,Hair Care,Conditioner,3,46.23,19,901,2020-10-24,8
100350,Body Care and Hygiene,Body Lotion,4,16.01,15,110,2021-09-22,5
100351,Skin Care,Lip Balm,3,60.36,20,75,2020-04-12,9
100352,Hair Care,Conditioner,4,39.3,52,177,2020-02-20,5
100353,Skin Care,Lip Balm,4,64.3,43,244,2020-01-10,7
100354,Skin Care,Lip Balm,4,88.01,25,976,2022-11-06,10
100355,Skin Care,Lip Balm,2,28.31,28,208,2022-09-10,9
100356,Hair Care,Shampoo,4,46.48,51,795,2023-05-28,10
100357,Hair Care,Hair Oil,1,36.63,58,57,2020-10-17,4
100358,Body Care and Hygiene,Body Lotion,1,5.42,22,147,2024-01-13,3
100359,Hair Care,Hair Oil,3,20.03,42,361,2020-11-01,7
100360,Skin Care,Lip Balm,2,24.97,3,948,2024-03-12,7
100361,Hair Care,Conditioner,3,11.01,39,21,2021-01-12,2
100362,Oral Care,Mouthwash,3,4.32,15,266,2023-12-04,7
100363,Body Care and Hygiene,Body Lotion,2,12.04,4,842,2022-12-11,9
100364,Hair Care,Shampoo,4,33.55,21,333,2022-02-14,8
100365,Body Care and Hygiene,Body Lotion,1,24.22,25,884,2022-10-18,3
100366,Skin Care,Face Wash,3,24.46,25,581,2023-01-27,5
100367,Hair Care,Shampoo,2,48.35,19,638,2020-10-25,3
100368,Oral Care,Mouthwash,2,16.87,44,150,2022-10-29,7
100369,Body Care and Hygiene,Hand Sanitizer,4,8.26,41,352,2024-03-27,2
100370,Oral Care,Mouthwash,1,11.17,35,383,2021-10-21,4
100371,Skin Care,Sunscreen,2,42.72,48,802,2022-03-05,5
100372,Body Care and Hygiene,Deodorant,1,9.36,17,392,2020-09-20,6
100373,Hair Care,Hair Oil,2,12.06,10,500,2020-02-08,8
100374,Hair Care,Hair Oil,1,5.96,17,142,2020-02-10,8
100375,Body Care and Hygiene,Body Lotion,1,29.89,31,81,2023-05-03,3
100376,Skin Care,Moisturizer,3,64.43,22,776,2024-09-06,4
100377,Oral Care,Mouthwash,3,2.86,13,687,2021-09-01,3
100378,Hair Care,Conditioner,1,41.87,40,156,2023-04-05,3
100379,Skin Care,Face Wash,1,58.21,55,511,2023-10-10,5
100380,Hair Care,Conditioner,1,23.96,42,798,2024-10-07,3
100381,Body Care and Hygiene,Hand Sanitizer,1,24.44,58,149,2020-07-20,10
100382,Skin Care,Face Wash,1,69.86,37,516,2024-08-16,7
100383,Skin Care,Moisturizer,1,43.46,55,160,2020-05-20,3
