invoice_no,category,item,quantity,price,location_id,customer_id,invoice_date
100047,Oral Care,Mouthwash,3,18.61,18,287,2020-12-31
100048,Body Care and Hygiene,Deodorant,2,10.59,36,114,2022-09-21
100049,Oral Care,Toothpaste,4,19.03,13,566,2022-07-25
100050,Body Care and Hygiene,Body Lotion,1,6.72,22,40,2022-06-18
100051,Body Care and Hygiene,Deodorant,1,18.34,55,310,2024-05-18
100052,Body Care and Hygiene,Deodorant,2,19.23,14,752,2020-07-25
100053,Skin Care,Sunscreen,3,52.99,34,651,2024-01-05
100054,Body Care and Hygiene,Hand Sanitizer,2,7.5,3,142,2022-05-30
100055,Body Care and Hygiene,Hand Sanitizer,4,21.73,9,310,2023-04-16
100056,Hair Care,Hair Oil,3,42.35,18,661,2024-08-18
100057,Skin Care,Face Wash,4,52.05,20,455,2021-09-23
100058,Skin Care,Moisturizer,3,20.43,15,551,2020-08-02
100059,Skin Care,Moisturizer,4,67.81,2,380,2020-12-31
100060,Skin Care,Face Wash,3,97.46,22,755,2021-07-13
100061,Skin Care,Moisturizer,2,69.18,18,713,2020-06-13
100062,Body Care and Hygiene,Deodorant,1,8.47,56,409,2020-05-25
100063,Hair Care,Conditioner,2,33.78,57,401,2023-12-25
100064,Skin Care,Sunscreen,2,38.47,16,336,2024-10-23
100065,Oral Care,Mouthwash,1,6.6,36,370,2024-06-19
100066,Body Care and Hygiene,Hand Sanitizer,3,9.62,7,91,2022-02-28
100067,Oral Care,Mouthwash,2,12.86,2,537,2023-03-24
100068,Hair Care,Conditioner,1,19.0,7,409,2023-03-10
100069,Body Care and Hygiene,Hand Sanitizer,3,25.19,17,203,2022-04-17
100070,Skin Care,Face Wash,3,21.03,30,803,2021-01-14
100071,Hair Care,Hair Oil,4,22.52,42,608,2021-03-15
100072,Hair Care,Conditioner,4,36.91,58,691,2023-10-23
100073,Body Care and Hygiene,Deodorant,2,16.56,14,331,2020-05-26
100074,Skin Care,Lip Balm,3,67.01,31,419,2021-01-04
100075,Skin Care,Face Wash,4,61.59,50,919,2021-05-30
100076,Skin Care,Moisturizer,3,54.65,38,351,2024-01-22
100077,Body Care and Hygiene,Deodorant,1,25.32,48,366,2022-05-27
100078,Body Care and Hygiene,Deodorant,2,3.72,55,268,2025-01-09
100079,Skin Care,Sunscreen,4,41.1,52,787,2020-09-13
100080,Hair Care,Shampoo,3,30.87,35,601,2021-09-13
100081,Skin Care,Sunscreen,1,81.11,32,475,2022-06-13
100082,Hair Care,Hair Oil,4,42.1,2,670,2023-11-12
100083,Hair Care,Conditioner,3,41.52,36,617,2020-08-01
100084,Body Care and Hygiene,Deodorant,2,26.6,50,9,2020-01-07
100085,Body Care and Hygiene,Deodorant,1,19.89,43,952,2022-02-21
100086,Hair Care,Conditioner,2,11.04,50,999,2021-04-11
100087,Body Care and Hygiene,Hand Sanitizer,2,23.9,58,539,2021-03-01
100088,Oral Care,Mouthwash,2,10.08,57,719,2023-11-22
100089,Oral Care,Toothpaste,4,6.21,30,838,2022-05-10
100090,Body Care and Hygiene,Body Lotion,4,25.77,40,308,2022-10-03
100091,Body Care and Hygiene,Hand Sanitizer,1,14.09,56,42,2021-08-12
100092,Hair Care,Conditioner,4,20.64,44,407,2020-06-21
100093,Skin Care,Sunscreen,2,86.41,17,698,2023-09-18
100094,Hair Care,Hair Oil,1,15.12,58,673,2023-12-06
100095,Body Care and Hygiene,Hand Sanitizer,1,27.8,38,373,2020-01-03
100096,Hair Care,Conditioner,2,11.62,23,753,2022-07-27
100097,Skin Care,Face Wash,1,55.31,42,385,2020-06-17
100098,Skin Care,Sunscreen,3,40.45,38,719,2024-05-20
100099,Body Care and Hygiene,Hand Sanitizer,1,25.05,17,165,2023-12-08
100100,Skin Care,Sunscreen,1,83.02,27,868,2024-06-11
100101,Hair Care,Conditioner,2,24.11,31,37,2022-07-06
100102,Hair Care,Shampoo,2,29.73,1,175,2022-11-21
100103,Oral Care,Mouthwash,2,14.68,51,712,2024-07-01
100104,Skin Care,Sunscreen,3,59.0,59,9,2020-02-24
100105,Oral Care,Toothpaste,1,18.91,28,915,2024-05-26
100106,Oral Care,Mouthwash,2,16.67,30,763,2020-04-17
100107,Hair Care,Hair Oil,1,12.55,7,551,2021-04-17
100108,Skin Care,Moisturizer,4,72.42,19,896,2021-03-23
100109,Body Care and Hygiene,Deodorant,2,25.73,58,633,2022-06-19
100110,Oral Care,Mouthwash,3,10.64,25,726,2024-06-17
100111,Body Care and Hygiene,Hand Sanitizer,4,18.14,45,976,2021-01-26
100112,Hair Care,Conditioner,3,29.25,44,717,2023-02-17
100113,Hair Care,Shampoo,3,47.58,44,410,2024-07-01
100114,Oral Care,Toothpaste,4,14.39,57,294,2020-09-29
100115,Body Care and Hygiene,Hand Sanitizer,2,25.03,20,986,2022-09-08
100116,Skin Care,Lip Balm,2,35.38,36,509,2020-03-21
100117,Hair Care,Hair Oil,2,34.98,18,605,2024-08-05
100118,Hair Care,Shampoo,3,39.97,46,322,2021-03-28
100119,Oral Care,Mouthwash,4,10.64,31,728,2020-10-05
100120,Oral Care,Toothpaste,2,13.35,35,450,2022-09-20
100121,Skin Care,Moisturizer,2,39.65,36,238,2023-02-21
100122,Hair Care,Hair Oil,3,41.24,16,64,2023-03-26
100123,Body Care and Hygiene,Hand Sanitizer,2,24.93,40,424,2021-10-28
100124,Skin Care,Sunscreen,1,17.78,5,979,2024-12-12
100125,Skin Care,Lip Balm,4,48.93,15,109,2020-06-04
100126,Skin Care,Lip Balm,3,59.25,26,731,2024-11-17
100127,Hair Care,Hair Oil,1,10.55,43,491,2020-02-26
100128,Body Care and Hygiene,Deodorant,1,28.6,37,738,2020-12-19
100129,Hair Care,Conditioner,4,16.65,19,538,2021-08-11
100130,Skin Care,Sunscreen,3,85.99,1,33,2021-08-10
100131,Oral Care,Mouthwash,1,3.6,33,60,2024-01-10
100132,Oral Care,Mouthwash,3,6.53,18,299,2022-12-17
100133,Body Care and Hygiene,Hand Sanitizer,1,28.94,37,529,2021-08-24
100134,Skin Care,Face Wash,1,43.76,48,978,2022-10-15
100135,Oral Care,Mouthwash,4,8.52,36,683,2024-07-01
100136,Oral Care,Toothpaste,1,4.64,11,175,2024-05-02
100137,Hair Care,Conditioner,2,27.26,27,690,2022-09-01
100138,Hair Care,Hair Oil,2,15.76,12,954,2021-02-12
100139,Hair Care,Shampoo,3,9.2,52,186,2022-09-25
100140,Body Care and Hygiene,Hand Sanitizer,2,29.95,59,768,2020-11-30
100141,Skin Care,Lip Balm,3,40.09,16,300,2021-09-04
100142,Skin Care,Moisturizer,4,81.85,15,344,2020-09-19
100143,Body Care and Hygiene,Body Lotion,2,4.46,55,578,2020-05-16
100144,Hair Care,Hair Oil,4,42.69,30,941,2025-01-31
100145,Body Care and Hygiene,Hand Sanitizer,4,18.23,3,620,2021-09-16
100146,Body Care and Hygiene,Deodorant,1,26.73,12,166,2024-07-12
100147,Oral Care,Toothpaste,1,5.94,57,919,2023-10-11
100148,Body Care and Hygiene,Body Lotion,3,6.29,22,987,2021-11-28
100149,Body Care and Hygiene,Hand Sanitizer,2,15.83,39,893,2021-06-26
100150,Body Care and Hygiene,Hand Sanitizer,3,15.97,40,904,2023-05-03
100151,Skin Care,Lip Balm,2,77.07,40,746,2024-09-28
100152,Skin Care,Lip Balm,4,43.64,46,700,2024-01-11
100153,Skin Care,Sunscreen,4,53.82,42,94,2022-05-24
100154,Oral Care,Toothpaste,3,15.93,40,611,2023-12-19
100155,Skin Care,Face Wash,3,45.63,14,716,2024-01-17
100156,Oral Care,Toothpaste,3,16.5,7,612,2023-02-17
100157,Hair Care,Shampoo,1,7.87,47,184,2021-02-18
100158,Body Care and Hygiene,Deodorant,1,8.85,19,272,2022-08-03
100159,Skin Care,Lip Balm,3,79.11,9,52,2021-01-20
100160,Skin Care,Face Wash,3,54.29,60,69,2021-05-30
100161,Body Care and Hygiene,Hand Sanitizer,1,29.1,23,450,2020-10-26
100162,Body Care and Hygiene,Hand Sanitizer,1,8.61,52,711,2022-07-17
100163,Hair Care,Hair Oil,4,5.22,10,699,2020-12-04
100164,Hair Care,Hair Oil,2,17.5,21,826,2020-07-24
100165,Body Care and Hygiene,Body Lotion,2,24.49,45,606,2024-08-19
100166,Hair Care,Hair Oil,1,24.39,8,722,2022-03-26
100167,Skin Care,Sunscreen,3,27.09,57,293,2022-07-05
100168,Oral Care,Mouthwash,4,2.72,4,709,2023-07-20
100169,Oral Care,Toothpaste,3,12.72,27,184,2021-04-15
100170,Body Care and Hygiene,Hand Sanitizer,4,19.77,11,663,2024-09-22
100171,Body Care and Hygiene,Hand Sanitizer,2,22.34,14,897,2021-01-14
100172,Hair Care,Hair Oil,4,36.07,41,302,2023-06-11
100173,Oral Care,Mouthwash,4,7.57,17,433,2022-06-12
100174,Skin Care,Sunscreen,1,88.2,19,507,2024-12-11
100175,Hair Care,Hair Oil,1,38.04,32,358,2020-02-13
100176,Body Care and Hygiene,Deodorant,1,18.05,36,828,2024-02-20
100177,Skin Care,Face Wash,2,56.73,49,126,2022-06-30
100178,Skin Care,Face Wash,4,58.19,50,632,2021-08-29
100179,Hair Care,Shampoo,3,5.04,56,439,2021-04-26
100180,Body Care and Hygiene,Hand Sanitizer,2,20.23,37,211,2021-11-21
100181,Oral Care,Toothpaste,4,12.99,54,468,2024-08-03
100182,Skin Care,Moisturizer,2,49.54,25,248,2022-10-14
100183,Oral Care,Toothpaste,1,2.82,39,255,2023-01-30
100184,Body Care and Hygiene,Body Lotion,2,13.4,34,917,2021-11-28
100185,Oral Care,Mouthwash,3,6.76,42,780,2020-02-08
100186,Hair Care,Hair Oil,1,9.29,11,66,2021-08-15
100187,Hair Care,Shampoo,2,32.01,19,740,2022-07-01
100188,Body Care and Hygiene,Body Lotion,3,19.23,43,63,2020-06-23
100189,Oral Care,Toothpaste,1,3.48,18,662,2022-08-13
100190,Body Care and Hygiene,Deodorant,1,12.05,18,365,2021-09-12
100191,Hair Care,Conditioner,2,31.86,19,818,2021-10-19
100192,Oral Care,Toothpaste,3,14.34,43,349,2024-12-16
100193,Body Care and Hygiene,Body Lotion,1,22.18,14,813,2022-07-15
100194,Hair Care,Conditioner,2,6.93,51,633,2024-07-24
100195,Body Care and Hygiene,Body Lotion,3,11.91,51,186,2023-07-17
100196,Skin Care,Sunscreen,2,29.57,5,943,2021-08-29
100197,Hair Care,Shampoo,1,14.16,45,518,2021-10-20
100198,Skin Care,Moisturizer,2,44.96,29,511,2021-05-21
100199,Hair Care,Hair Oil,4,37.61,21,275,2020-04-07
100200,Body Care and Hygiene,Hand Sanitizer,2,12.31,14,651,2022-04-27
100201,Body Care and Hygiene,Deodorant,2,8.58,9,783,2022-03-29
100202,Body Care and Hygiene,Deodorant,1,16.35,17,522,2021-05-27
100203,Body Care and Hygiene,Hand Sanitizer,1,16.35,18,258,2021-05-17
100204,Hair Care,Shampoo,2,15.86,3,417,2022-08-14
100205,Hair Care,Shampoo,3,5.12,27,394,2020-01-24
100206,Body Care and Hygiene,Body Lotion,4,13.92,26,684,2024-02-28
100207,Hair Care,Shampoo,1,44.13,39,710,2020-01-12
100208,Hair Care,Shampoo,3,23.83,37,356,2023-01-04
100209,Oral Care,Mouthwash,2,19.74,15,369,2022-03-24
100210,Hair Care,Conditioner,4,39.85,50,821,2021-05-10
100211,Hair Care,Conditioner,1,20.25,60,624,2022-10-30
100212,Skin Care,Lip Balm,1,97.4,17,546,2021-06-13
100213,Skin Care,Face Wash,3,31.61,7,652,2024-11-02
100214,Body Care and Hygiene,Body Lotion,1,12.18,49,387,2020-12-31
100215,Hair Care,Conditioner,1,41.33,35,97,2024-11-08
100216,Oral Care,Toothpaste,2,8.29,26,339,2021-01-28
100217,Hair Care,Hair Oil,4,32.04,26,381,2020-02-27
100218,Hair Care,Hair Oil,1,42.48,14,196,2021-09-06
100219,Skin Care,Moisturizer,1,57.12,7,823,2021-09-03
100220,Skin Care,Sunscreen,4,45.18,48,425,2020-08-24
100221,Hair Care,Hair Oil,4,47.24,10,600,2021-07-30
100222,Skin Care,Lip Balm,3,50.11,41,438,2024-09-05
100223,Oral Care,Toothpaste,2,5.3,27,91,2020-11-04
100224,Body Care and Hygiene,Hand Sanitizer,2,15.61,4,181,2023-03-22
100225,Hair Care,Shampoo,4,13.07,49,556,2023-05-25
100226,Hair Care,Conditioner,4,46.43,16,543,2023-04-30
100227,Oral Care,Mouthwash,3,7.31,29,279,2024-08-06
100228,Body Care and Hygiene,Deodorant,2,3.12,55,89,2020-09-07
100229,Hair Care,Shampoo,2,46.25,39,150,2022-10-10
100230,Body Care and Hygiene,Deodorant,1,27.66,29,450,2024-03-11
100231,Body Care and Hygiene,Body Lotion,3,4.79,13,418,2022-03-06
100232,Skin Care,Face Wash,4,85.07,52,85,2021-10-19
100233,Body Care and Hygiene,Body Lotion,3,28.43,31,897,2024-03-04
100234,Skin Care,Moisturizer,3,22.03,50,135,2021-06-16
100235,Skin Care,Lip Balm,4,36.86,1,96,2024-01-13
100236,Skin Care,Lip Balm,4,33.25,27,382,2024-09-21
100237,Hair Care,Conditioner,2,16.21,2,565,2024-04-25
100238,Hair Care,Shampoo,3,22.59,27,497,2020-12-25
100239,Body Care and Hygiene,Hand Sanitizer,2,8.57,33,441,2025-02-13
100240,Oral Care,Mouthwash,2,18.07,3,854,2024-01-21
100241,Oral Care,Mouthwash,1,2.04,26,516,2021-10-10
100242,Skin Care,Lip Balm,1,52.83,3,277,2021-05-01
100243,Skin Care,Moisturizer,4,25.78,35,449,2022-08-27
100244,Body Care and Hygiene,Hand Sanitizer,2,23.09,32,168,2022-02-09
100245,Body Care and Hygiene,Body Lotion,4,21.42,57,55,2023-02-02
100246,Body Care and Hygiene,Body Lotion,2,11.08,1,220,2021-08-11
100247,Oral Care,Mouthwash,4,6.27,7,415,2021-02-22
100248,Body Care and Hygiene,Hand Sanitizer,2,24.5,48,792,2023-07-03
100249,Body Care and Hygiene,Body Lotion,4,6.93,42,663,2022-09-03
100250,Body Care and Hygiene,Hand Sanitizer,3,19.36,34,414,2021-11-21
100251,Hair Care,Hair Oil,1,37.76,41,45,2024-04-12
100252,Skin Care,Lip Balm,1,51.53,10,221,2025-02-12
100253,Oral Care,Mouthwash,4,6.45,46,247,2021-11-07
100254,Skin Care,Moisturizer,1,45.67,60,777,2021-06-24
100255,Skin Care,Moisturizer,1,28.9,45,797,2024-01-07
100256,Skin Care,Sunscreen,1,69.02,60,437,2024-11-22
100257,Body Care and Hygiene,Hand Sanitizer,4,23.33,2,66,2023-08-24
100258,Hair Care,Hair Oil,4,7.73,43,701,2024-05-17
100259,Body Care and Hygiene,Hand Sanitizer,3,22.82,53,331,2023-05-14
100260,Oral Care,Toothpaste,2,9.15,1,418,2024-11-14
100261,Hair Care,Conditioner,3,35.48,39,324,2024-10-13
100262,Hair Care,Conditioner,3,17.21,14,120,2020-07-29
100263,Skin Care,Sunscreen,4,86.86,42,209,2022-01-20
100264,Skin Care,Sunscreen,1,93.26,45,893,2024-08-23
100265,Body Care and Hygiene,Hand Sanitizer,2,20.48,56,103,2022-07-26
100266,Oral Care,Toothpaste,3,4.51,22,30,2021-06-15
100267,Skin Care,Lip Balm,2,14.86,10,108,2021-12-02
100268,Hair Care,Shampoo,1,31.2,6,970,2022-12-23
100269,Skin Care,Lip Balm,3,47.08,29,450,2022-06-12
100270,Hair Care,Conditioner,1,17.01,42,380,2023-06-12
100271,Hair Care,Hair Oil,2,42.18,36,907,2023-05-13
100272,Skin Care,Sunscreen,2,94.18,50,616,2023-10-04
100273,Oral Care,Mouthwash,3,3.39,60,605,2021-08-19
100274,Hair Care,Hair Oil,1,14.52,16,802,2024-04-19
100275,Body Care and Hygiene,Hand Sanitizer,3,20.19,46,210,2023-04-21
100276,Oral Care,Toothpaste,4,7.4,41,318,2023-04-09
100277,Body Care and Hygiene,Hand Sanitizer,3,12.66,40,890,2023-01-18
100278,Oral Care,Toothpaste,4,7.47,33,96,2021-02-21
100279,Body Care and Hygiene,Hand Sanitizer,2,17.6,55,418,2024-06-18
100280,Oral Care,Toothpaste,4,12.16,36,303,2023-12-23
100281,Body Care and Hygiene,Deodorant,4,11.24,52,588,2021-06-12
100282,Skin Care,Face Wash,2,13.2,9,947,2023-02-07
100283,Oral Care,Mouthwash,1,15.34,43,520,2023-08-27
100284,Body Care and Hygiene,Body Lotion,1,15.85,53,873,2020-05-05
100285,Body Care and Hygiene,Hand Sanitizer,2,17.38,54,658,2021-04-17
100286,Oral Care,Toothpaste,2,4.81,14,774,2021-02-02
100287,Body Care and Hygiene,Deodorant,1,27.76,4,69,2020-01-07
100288,Skin Care,Face Wash,4,51.05,32,8,2021-01-02
100289,Skin Care,Sunscreen,1,19.79,25,520,2020-05-01
100290,Oral Care,Mouthwash,4,15.36,22,895,2021-01-12
100291,Skin Care,Lip Balm,3,19.44,41,954,2022-08-13
100292,Oral Care,Mouthwash,1,5.58,22,848,2024-01-16
100293,Body Care and Hygiene,Deodorant,3,20.19,20,957,2020-09-23
100294,Hair Care,Shampoo,1,40.62,25,311,2023-05-25
100295,Hair Care,Shampoo,2,23.82,1,559,2023-08-09
100296,Hair Care,Shampoo,2,20.33,5,195,2021-04-28
100297,Hair Care,Hair Oil,3,19.33,11,30,2022-08-20
100298,Body Care and Hygiene,Body Lotion,3,27.93,19,608,2023-09-09
100299,Hair Care,Shampoo,2,26.13,22,332,2021-02-04
100300,Skin Care,Lip Balm,1,27.45,52,784,2024-05-17
100301,Body Care and Hygiene,Deodorant,2,17.61,18,925,2020-01-29
100302,Hair Care,Hair Oil,4,40.45,17,808,2024-03-15
100303,Skin Care,Sunscreen,2,61.77,3,264,2020-11-13
100304,Body Care and Hygiene,Body Lotion,4,26.44,48,368,2023-04-04
100305,Oral Care,Mouthwash,3,19.58,23,789,2022-10-18
100306,Body Care and Hygiene,Hand Sanitizer,3,25.78,48,123,2021-12-30
100307,Body Care and Hygiene,Deodorant,1,10.08,53,462,2021-12-23
100308,Body Care and Hygiene,Deodorant,1,24.43,24,984,2023-10-07
100309,Skin Care,Lip Balm,1,82.78,55,410,2024-08-16
100310,Hair Care,Shampoo,4,30.69,33,380,2022-05-23
100311,Hair Care,Conditioner,1,17.97,34,73,2023-01-14
100312,Body Care and Hygiene,Hand Sanitizer,2,19.94,23,33,2023-12-09
100313,Body Care and Hygiene,Hand Sanitizer,1,10.62,15,579,2022-10-26
100314,Oral Care,Toothpaste,3,11.72,15,519,2024-01-30
100315,Oral Care,Toothpaste,4,16.21,38,240,2021-06-11
100316,Hair Care,Conditioner,2,43.4,29,948,2024-11-04
100317,Skin Care,Face Wash,1,92.24,7,150,2021-07-28
100318,Body Care and Hygiene,Hand Sanitizer,3,10.08,29,305,2023-05-07
100319,Body Care and Hygiene,Hand Sanitizer,4,13.5,36,287,2023-12-11
100320,Body Care and Hygiene,Deodorant,2,20.99,42,657,2023-05-09
100321,Body Care and Hygiene,Hand Sanitizer,3,10.11,20,72,2022-12-28
100322,Body Care and Hygiene,Hand Sanitizer,4,24.23,22,226,2022-11-30
100323,Body Care and Hygiene,Deodorant,3,25.26,43,334,2024-08-21
100324,Oral Care,Mouthwash,1,6.09,35,423,2022-11-16
100325,Body Care and Hygiene,Deodorant,2,14.93,56,218,2023-08-03
100326,Oral Care,Mouthwash,1,14.86,52,153,2023-07-25
100327,Skin Care,Lip Balm,4,95.37,8,520,2021-07-01
100328,Hair Care,Conditioner,3,44.54,32,70,2021-04-07
100329,Skin Care,Moisturizer,4,11.84,33,887,2020-06-15
100330,Skin Care,Moisturizer,2,65.01,50,123,2021-05-08
100331,Skin Care,Moisturizer,2,61.21,51,672,2022-11-15
100332,Oral Care,Mouthwash,4,13.54,48,265,2022-06-27
100333,Skin Care,Face Wash,3,65.02,36,270,2022-12-04
100334,Body Care and Hygiene,Hand Sanitizer,2,3.25,46,276,2021-09-14
100335,Body Care and Hygiene,Hand Sanitizer,2,9.47,40,323,2021-06-08
100336,Skin Care,Lip Balm,2,47.25,54,631,2021-08-18
100337,Skin Care,Moisturizer,3,70.05,10,580,2022-01-19
100338,Hair Care,Hair Oil,3,48.94,58,155,2022-03-03
100339,Body Care and Hygiene,Hand Sanitizer,2,18.2,24,142,2021-03-06
100340,Body Care and Hygiene,Body Lotion,1,19.89,56,406,2021-11-02
100341,Hair Care,Hair Oil,1,35.7,47,617,2023-02-09
100342,Skin Care,Face Wash,2,47.32,3,731,2023-09-09
100343,Hair Care,Conditioner,2,34.54,4,623,2020-07-08
100344,Skin Care,Lip Balm,3,50.25,33,948,2022-04-30
100345,Body Care and Hygiene,Body Lotion,3,22.76,31,898,2022-04-02
100346,Skin Care,Sunscreen,3,85.29,55,139,2023-08-16
100347,Body Care and Hygiene,Body Lotion,1,24.48,22,188,2020-10-14
100348,Skin Care,Lip Balm,3,17.81,58,398,2020-05-23
100349,Skin Care,Moisturizer,2,87.79,41,753,2023-02-04
100350,Skin Care,Moisturizer,3,41.29,7,159,2021-01-06
100351,Skin Care,Lip Balm,3,18.47,19,844,2023-07-06
100352,Body Care and Hygiene,Body Lotion,3,20.36,16,761,2021-01-08
100353,Hair Care,Shampoo,2,48.0,10,827,2020-11-08
100354,Oral Care,Mouthwash,1,4.21,37,243,2021-01-04
100355,Oral Care,Toothpaste,3,14.13,53,734,2023-01-19
100356,Skin Care,Moisturizer,3,67.77,56,348,2021-10-12
100357,Body Care and Hygiene,Deodorant,1,6.68,23,385,2022-09-04
100358,Oral Care,Toothpaste,2,2.95,50,33,2020-08-14
100359,Skin Care,Face Wash,2,58.01,34,84,2020-09-25
100360,Oral Care,Mouthwash,1,15.66,41,197,2020-06-26
100361,Hair Care,Shampoo,4,48.54,40,168,2023-08-29
100362,Hair Care,Conditioner,4,19.62,9,69,2022-05-19
100363,Skin Care,Lip Balm,3,66.3,53,51,2023-11-16
100364,Skin Care,Moisturizer,4,15.14,58,259,2024-06-29
100365,Body Care and Hygiene,Hand Sanitizer,1,3.01,33,664,2022-01-22
100366,Hair Care,Hair Oil,2,28.86,46,812,2025-01-13
100367,Skin Care,Sunscreen,1,53.07,47,381,2020-05-29
100368,Skin Care,Face Wash,2,38.0,53,874,2022-08-24
100369,Body Care and Hygiene,Deodorant,1,11.32,11,364,2022-07-20
100370,Body Care and Hygiene,Hand Sanitizer,2,25.41,21,236,2021-01-03
100371,Hair Care,Shampoo,3,49.1,20,272,2024-09-07
100372,Body Care and Hygiene,Hand Sanitizer,2,7.59,36,68,2022-05-18
100373,Body Care and Hygiene,Hand Sanitizer,2,24.52,4,636,2022-02-20
100374,Hair Care,Shampoo,4,38.06,17,822,2023-01-07
100375,Skin Care,Lip Balm,4,49.98,23,570,2023-06-20
100376,Hair Care,Conditioner,4,30.67,17,303,2024-01-08
100377,Oral Care,Mouthwash,4,9.38,30,668,2024-04-08
100378,Skin Care,Lip Balm,4,33.95,41,741,2023-12-10
100379,Oral Care,Toothpaste,3,16.34,6,846,2020-03-07
100380,Oral Care,Mouthwash,4,15.9,9,525,2021-05-31
100381,Oral Care,Toothpaste,2,5.79,24,260,2024-12-21
100382,Oral Care,Mouthwash,2,10.23,39,270,2022-05-20
100383,Skin Care,Face Wash,3,91.01,31,37,2021-06-11
100384,Hair Care,Conditioner,1,12.01,7,208,2025-02-11
100385,Skin Care,Sunscreen,2,18.22,9,790,2023-08-15
100386,Hair Care,Conditioner,3,19.69,27,372,2024-09-30
100387,Body Care and Hygiene,Deodorant,2,14.38,45,699,2020-06-14
100388,Oral Care,Mouthwash,1,3.06,45,756,2024-02-16
100389,Oral Care,Toothpaste,1,12.16,25,288,2020-12-04
100390,Body Care and Hygiene,Hand Sanitizer,4,6.78,47,342,2022-02-23
100391,Oral Care,Mouthwash,1,15.6,44,147,2023-10-19
100392,Skin Care,Moisturizer,4,23.65,39,996,2021-04-29
100393,Skin Care,Sunscreen,1,50.73,28,547,2024-07-02
100394,Skin Care,Face Wash,1,42.8,18,771,2020-03-17
100395,Oral Care,Toothpaste,1,2.84,27,233,2021-01-17
100396,Body Care and Hygiene,Body Lotion,2,22.41,3,940,2023-08-11
100397,Skin Care,Face Wash,2,40.72,7,558,2021-03-24
100398,Skin Care,Lip Balm,4,84.63,32,973,2021-07-10
100399,Oral Care,Toothpaste,1,19.49,55,531,2022-12-22
100400,Skin Care,Moisturizer,2,20.41,39,818,2024-02-14
100401,Body Care and Hygiene,Deodorant,3,7.38,39,133,2020-01-07
100402,Hair Care,Shampoo,2,15.16,23,998,2022-05-09
100403,Oral Care,Mouthwash,3,14.17,24,118,2021-10-07
