invoice_no,category,quantity,price,shopping_mall,invoice_date
100054,Electronics,1,38.81,Scottsdale Fashion Square,2024-09-25
100055,Jewelry,2,449.16,The Mall at Millenia,2020-12-31
100056,Beauty Products,2,189.33,Tysons Corner Center,2024-04-28
100057,Home Decor,4,360.41,The Grove,2021-09-25
100058,Accessories,2,362.79,Bluewater Shopping Centre,2023-09-28
100059,Footwear,2,56.85,Stonebriar Centre,2021-10-26
100060,Electronics,1,406.85,Lakeside Shopping Centre,2020-02-03
100061,Toys,2,296.69,Westfield San Francisco Centre,2024-03-07
100062,Toys,2,40.95,NorthPark Center,2023-05-10
100063,Footwear,3,402.35,Perimeter Mall,2021-11-11
100064,Accessories,4,191.32,Stanford Shopping Center,2024-04-08
100065,Groceries,1,82.65,The Mall in Columbia,2024-12-13
100066,Footwear,4,360.19,The Galleria at Fort Lauderdale,2021-04-09
100067,Footwear,1,350.36,The Americana at Brand,2021-08-28
100068,Groceries,2,409.43,Scottsdale Fashion Square,2024-09-02
100069,Clothing,2,393.23,Westfield London,2020-01-20
100070,Groceries,4,84.38,South Coast Plaza,2022-01-08
100071,Footwear,2,97.35,Cherry Creek Shopping Center,2020-11-30
100072,Beauty Products,2,192.77,Westfield Annapolis,2022-01-16
100073,Groceries,2,113.83,Dolphin Mall,2020-08-19
100074,Beauty Products,1,151.62,The Domain,2024-04-26
100075,Beauty Products,4,147.66,Bloor-Yorkville,2022-04-09
100076,Beauty Products,2,313.42,Bayshore Shopping Centre,2022-09-17
100077,Footwear,3,118.65,Scottsdale Fashion Square,2021-05-16
100078,Clothing,1,300.21,The Galleria at Fort Lauderdale,2023-10-28
100079,Home Decor,3,55.9,The Mall in Columbia,2021-07-16
100080,Clothing,4,461.6,Metrocentre,2022-03-15
100081,Books,1,356.44,The Gardens Mall,2024-07-25
100082,Electronics,1,413.85,Westfield Stratford City,2024-02-23
100083,Beauty Products,2,95.39,Perimeter Mall,2022-07-20
100084,Electronics,1,248.16,The Dubai Mall,2023-03-09
100085,Beauty Products,4,337.52,Westfield San Francisco Centre,2021-11-11
100086,Jewelry,3,104.49,SouthPark,2022-07-30
100087,Groceries,2,168.3,Town Center at Boca Raton,2022-11-24
100088,Home Decor,2,251.83,Brookfield Place,2022-12-30
100089,Electronics,3,383.33,Perimeter Mall,2021-03-10
100090,Jewelry,4,396.56,Fashion Show Mall,2022-07-15
100091,Footwear,2,471.92,Palisades Center,2022-01-17
100092,Toys,3,241.18,Lenox Square,2023-05-31
100093,Beauty Products,1,300.86,Brookfield Place,2022-04-29
100094,Toys,1,295.22,The Galleria at Fort Lauderdale,2022-01-05
100095,Clothing,4,398.77,The Summit,2021-09-14
100096,Groceries,4,494.4,Stonebriar Centre,2020-06-04
100097,Groceries,4,465.45,West Edmonton Mall,2024-09-06
100098,Toys,3,232.28,Trafford Centre,2023-02-01
100099,Groceries,4,31.6,Town Center at Boca Raton,2021-08-03
100100,Electronics,3,14.47,The Galleria,2021-10-29
100101,Beauty Products,1,268.93,Yorkdale Shopping Centre,2022-01-18
100102,Home Decor,3,382.19,Meadowhall,2023-08-19
100103,Clothing,3,395.9,Bloor-Yorkville,2022-10-23
100104,Toys,2,416.03,Metrocentre,2023-09-01
100105,Electronics,1,405.74,Arndale Centre,2023-12-27
100106,Toys,2,430.94,The Streets at Southpoint,2021-01-10
100107,Groceries,2,272.67,The Galleria,2021-10-23
100108,Footwear,2,271.8,King of Prussia Mall,2024-08-04
100109,Beauty Products,2,286.16,Town Center at Boca Raton,2022-11-08
100110,Home Decor,1,395.72,The Summit,2023-11-02
100111,Books,2,222.85,Perimeter Mall,2024-04-30
100112,Beauty Products,1,372.59,The Galleria at Fort Lauderdale,2023-09-16
100113,Books,1,42.22,Meadowhall,2022-05-18
100114,Electronics,3,289.47,Brookfield Place,2020-02-21
100115,Beauty Products,4,27.33,The Mall at Millenia,2022-03-29
100116,Accessories,3,262.32,Yorkdale Shopping Centre,2020-08-05
100117,Footwear,1,333.95,The Galleria at Fort Lauderdale,2022-09-09
100118,Groceries,4,272.27,Oakbrook Center,2022-09-08
100119,Groceries,4,22.86,Arndale Centre,2021-03-22
100120,Jewelry,2,122.45,Bayshore Shopping Centre,2023-10-11
100121,Accessories,3,116.79,The Trafford Centre,2020-10-16
100122,Clothing,1,11.87,The Mall at Short Hills,2021-01-21
100123,Home Decor,4,400.73,Trafford Centre,2020-01-03
100124,Electronics,2,73.24,The Galleria,2023-03-30
100125,Beauty Products,1,498.6,Stanford Shopping Center,2023-06-16
100126,Home Decor,2,269.87,South Coast Plaza,2024-08-27
100127,Groceries,4,126.19,Tysons Corner Center,2022-01-01
100128,Toys,1,359.0,The Mall at Short Hills,2024-11-14
100129,Clothing,4,13.15,Tysons Corner Center,2023-06-05
100130,Electronics,1,294.95,The Summit,2022-09-06
100131,Toys,1,289.46,The Florida Mall,2024-07-01
100132,Clothing,1,104.81,Santa Monica Place,2021-04-20
100133,Electronics,1,82.21,Oakbrook Center,2022-11-16
100134,Jewelry,4,310.3,The Mall at Short Hills,2022-01-14
100135,Accessories,2,276.22,The Florida Mall,2022-06-29
100136,Home Decor,4,268.28,Westfield Stratford City,2023-02-16
100137,Toys,4,206.29,Westfield Century City,2020-11-07
100138,Footwear,3,106.42,Easton Town Center,2022-03-19
100139,Toys,2,193.35,Arndale Centre,2020-06-19
100140,Electronics,4,370.88,The Grove,2021-07-11
100141,Groceries,2,475.6,Fashion Show Mall,2024-01-13
100142,Groceries,4,244.24,King of Prussia Mall,2020-08-31
100143,Jewelry,3,437.3,The Domain,2021-04-26
100144,Beauty Products,3,475.5,Oakbrook Center,2021-09-25
100145,Footwear,4,78.15,The Americana at Brand,2023-10-31
100146,Groceries,4,332.53,Santa Monica Place,2021-02-16
100147,Clothing,1,263.12,Mall of America,2022-03-01
100148,Groceries,3,409.01,Brookfield Place,2020-11-23
100149,Toys,2,473.77,The Dubai Mall,2020-10-13
100150,Books,4,286.4,South Coast Plaza,2020-06-15
100151,Clothing,4,369.28,The Galleria at Fort Lauderdale,2021-03-31
100152,Jewelry,1,55.75,The Americana at Brand,2024-02-20
100153,Jewelry,3,327.72,Scottsdale Fashion Square,2024-07-22
100154,Home Decor,3,211.97,Perimeter Mall,2020-08-13
100155,Accessories,4,258.21,Perimeter Mall,2020-10-25
100156,Books,4,444.25,Westfield Annapolis,2020-06-25
100157,Clothing,3,412.03,Bullring & Grand Central,2024-06-03
100158,Beauty Products,3,499.61,Town Center at Boca Raton,2022-08-12
100159,Clothing,2,445.03,Metrocentre,2024-12-31
100160,Beauty Products,4,364.4,Park Meadows,2023-02-20
100161,Electronics,4,442.29,Lenox Square,2022-12-11
100162,Footwear,3,419.66,Bloor-Yorkville,2021-12-12
100163,Home Decor,4,86.51,Easton Town Center,2024-11-18
100164,Books,3,173.7,Bloor-Yorkville,2022-01-25
100165,Footwear,2,239.6,Bayshore Shopping Centre,2023-04-12
100166,Jewelry,1,427.01,Westfield Stratford City,2020-08-21
100167,Beauty Products,3,338.79,King of Prussia Mall,2024-08-05
100168,Accessories,3,232.29,Fashion Show Mall,2020-02-04
100169,Groceries,4,178.7,Mall of America,2021-07-15
100170,Footwear,1,359.81,The Trafford Centre,2021-04-11
100171,Groceries,3,178.27,Mall of America,2022-11-19
100172,Footwear,1,20.94,The Trafford Centre,2022-05-16
100173,Jewelry,1,441.8,South Coast Plaza,2020-03-13
100174,Groceries,3,451.14,The Trafford Centre,2023-09-11
100175,Books,1,363.09,Scottsdale Fashion Square,2023-05-25
100176,Electronics,1,156.64,Aventura Mall,2020-01-20
100177,Jewelry,3,105.97,The Shops at Columbus Circle,2023-06-02
100178,Jewelry,1,228.14,The Americana at Brand,2024-12-24
100179,Groceries,2,26.48,Park Meadows,2020-11-30
100180,Electronics,3,369.45,The Americana at Brand,2020-04-11
100181,Groceries,4,263.79,Metrocentre,2023-07-07
100182,Toys,4,449.11,Bullring & Grand Central,2023-12-17
100183,Accessories,4,386.46,The Grove,2021-07-20
100184,Groceries,4,36.11,International Plaza and Bay Street,2021-12-24
100185,Toys,3,396.78,The Oracle,2024-03-16
100186,Groceries,1,391.72,The Shops at La Cantera,2023-02-01
100187,Electronics,1,281.12,The Shops at Columbus Circle,2023-09-10
100188,Home Decor,4,456.98,Westfield Stratford City,2023-06-22
100189,Jewelry,1,50.38,Arndale Centre,2024-05-06
100190,Footwear,1,212.76,The Gardens Mall,2023-01-04
100191,Accessories,1,229.12,Westfield San Francisco Centre,2024-08-23
100192,Electronics,4,412.12,Bluewater Shopping Centre,2023-05-21
100193,Toys,4,303.26,The Grove,2021-10-26
100194,Groceries,2,486.4,The Shops at Columbus Circle,2024-04-02
100195,Beauty Products,1,41.87,Pheasant Lane Mall,2023-04-16
100196,Home Decor,1,403.21,International Plaza and Bay Street,2025-02-07
100197,Beauty Products,2,198.18,Palisades Center,2024-06-23
100198,Groceries,2,356.48,Bayshore Shopping Centre,2023-05-04
100199,Home Decor,3,448.43,Lakeside Shopping Centre,2022-04-26
100200,Books,1,478.85,Bayshore Shopping Centre,2022-01-18
100201,Home Decor,1,87.71,The Mall in Columbia,2020-03-21
100202,Books,1,486.83,The Mall in Columbia,2023-05-28
100203,Accessories,3,494.92,Tysons Corner Center,2022-05-27
100204,Toys,4,411.25,Yorkdale Shopping Centre,2024-05-01
100205,Accessories,2,394.89,The Mall at Millenia,2021-11-08
100206,Clothing,2,466.26,Bellevue Square,2024-07-27
100207,Electronics,3,473.57,King of Prussia Mall,2022-07-20
100208,Home Decor,4,436.96,Westfield Century City,2023-03-17
100209,Toys,4,309.58,NorthPark Center,2024-04-23
100210,Accessories,3,189.6,Bluewater Shopping Centre,2020-08-16
100211,Books,1,229.13,Mall of America,2022-03-29
100212,Jewelry,4,484.22,Metrocentre,2020-10-16
100213,Home Decor,1,58.3,Fashion Show Mall,2024-05-23
100214,Home Decor,2,327.87,Westfield Annapolis,2020-05-20
100215,Books,4,437.2,Mall of America,2023-06-14
100216,Books,3,45.49,Trafford Centre,2024-11-08
100217,Toys,1,329.78,King of Prussia Mall,2021-10-17
100218,Toys,4,261.03,Park Meadows,2020-02-24
100219,Home Decor,4,166.83,The Florida Mall,2024-04-14
100220,Home Decor,4,313.72,The Grove,2024-09-19
100221,Footwear,4,381.1,South Coast Plaza,2021-01-04
100222,Beauty Products,2,347.16,Bellevue Square,2021-03-19
100223,Jewelry,1,219.53,Fashion Show Mall,2020-06-22
100224,Books,4,277.42,Westfield Stratford City,2022-12-06
100225,Books,3,402.99,The Mall at Millenia,2020-01-14
100226,Clothing,2,70.8,Perimeter Mall,2022-09-20
100227,Home Decor,2,291.11,Roosevelt Field,2023-01-08
100228,Beauty Products,4,375.1,Palisades Center,2024-05-29
100229,Toys,2,219.51,Bellevue Square,2021-02-19
100230,Accessories,2,313.45,The Shops at Columbus Circle,2024-01-20
100231,Accessories,1,261.91,Bellevue Square,2022-09-02
100232,Books,1,348.18,Westfield London,2024-11-25
100233,Books,4,273.18,The Mall in Columbia,2021-10-16
100234,Jewelry,1,420.63,Oakbrook Center,2021-01-15
100235,Jewelry,4,483.56,Bayshore Shopping Centre,2024-07-23
100236,Clothing,3,38.09,The Mall at Millenia,2024-01-23
100237,Accessories,1,199.28,The Shops at Columbus Circle,2021-06-07
100238,Home Decor,2,296.12,The Mall at Short Hills,2020-08-28
100239,Groceries,1,244.8,The Trafford Centre,2023-01-26
100240,Toys,3,62.21,Fashion Show Mall,2024-03-11
100241,Electronics,3,381.14,The Oracle,2020-08-12
100242,Footwear,2,465.18,Metrocentre,2021-10-30
100243,Toys,4,330.58,Roosevelt Field,2022-04-13
100244,Home Decor,2,430.89,Palisades Center,2021-06-21
100245,Jewelry,2,40.41,Westfield Century City,2022-04-30
100246,Accessories,2,89.04,Lenox Square,2022-04-01
100247,Toys,4,327.64,Easton Town Center,2022-05-17
100248,Footwear,1,158.91,Palisades Center,2023-10-02
100249,Clothing,1,330.49,Pheasant Lane Mall,2024-12-11
100250,Accessories,2,473.81,The Americana at Brand,2022-10-14
100251,Books,3,198.94,Easton Town Center,2023-02-13
100252,Groceries,2,54.58,The Dubai Mall,2021-02-06
100253,Beauty Products,2,72.57,The Mall at Short Hills,2023-07-07
100254,Clothing,3,232.16,Dolphin Mall,2022-01-16
100255,Jewelry,4,174.53,Mall of America,2024-06-16
100256,Groceries,3,333.72,Metrocentre,2023-07-06
100257,Footwear,3,374.01,King of Prussia Mall,2020-11-12
100258,Footwear,1,237.49,The Dubai Mall,2022-09-16
100259,Toys,2,435.97,South Coast Plaza,2023-08-12
100260,Jewelry,4,24.57,Cherry Creek Shopping Center,2020-07-03
100261,Accessories,1,170.94,Scottsdale Fashion Square,2024-04-05
100262,Footwear,1,223.7,Bluewater Shopping Centre,2020-02-05
100263,Clothing,2,83.17,The Oracle,2021-05-15
100264,Footwear,4,249.08,Lenox Square,2020-03-21
100265,Beauty Products,1,26.34,Westfield Annapolis,2020-07-02
100266,Clothing,3,72.35,Westfield Annapolis,2022-06-21
100267,Footwear,4,220.41,Mall of America,2022-05-27
100268,Home Decor,2,42.48,The Streets at Southpoint,2025-02-02
100269,Beauty Products,2,139.18,Fashion Show Mall,2020-04-02
100270,Clothing,4,371.8,Lakeside Shopping Centre,2022-03-18
100271,Home Decor,3,449.8,Brookfield Place,2020-06-25
100272,Jewelry,2,435.72,SouthPark,2022-10-14
100273,Clothing,3,454.06,The Mall at Short Hills,2020-08-21
100274,Footwear,3,74.99,Westfield San Francisco Centre,2020-04-10
100275,Beauty Products,1,46.67,Arndale Centre,2023-03-31
100276,Toys,3,215.72,Lenox Square,2023-07-13
100277,Toys,3,477.34,West Edmonton Mall,2020-04-08
100278,Groceries,4,172.92,King of Prussia Mall,2020-09-04
100279,Home Decor,2,264.41,The Americana at Brand,2023-02-19
100280,Home Decor,4,257.91,Perimeter Mall,2023-03-30
100281,Groceries,4,177.81,Westfield San Francisco Centre,2022-03-04
100282,Groceries,4,182.93,Roosevelt Field,2024-02-23
100283,Groceries,1,377.62,The Gardens Mall,2025-02-02
100284,Books,3,203.83,International Plaza and Bay Street,2023-06-26
100285,Jewelry,4,396.52,Easton Town Center,2020-06-25
100286,Accessories,1,83.1,Westfield Annapolis,2024-09-17
100287,Groceries,1,392.66,The Americana at Brand,2021-10-19
100288,Footwear,2,80.13,The Trafford Centre,2020-04-14
100289,Beauty Products,1,51.88,The Summit,2023-05-07
100290,Accessories,1,70.3,Brookfield Place,2024-10-25
100291,Toys,2,290.37,The Streets at Southpoint,2025-02-11
100292,Home Decor,3,182.85,Stonebriar Centre,2022-06-07
100293,Electronics,2,40.25,Bloor-Yorkville,2024-02-11
100294,Electronics,4,469.83,The Domain,2022-11-09
100295,Books,2,399.59,The Americana at Brand,2025-02-14
100296,Books,3,185.85,The Oracle,2023-01-17
100297,Electronics,2,202.03,Bellevue Square,2024-09-30
100298,Home Decor,2,206.49,Westfield Stratford City,2020-04-06
100299,Footwear,1,168.65,International Plaza and Bay Street,2024-04-10
100300,Jewelry,4,266.23,Roosevelt Field,2024-05-04
100301,Accessories,1,51.09,Oakbrook Center,2021-12-27
100302,Footwear,3,465.53,CambridgeSide,2020-06-17
100303,Groceries,2,125.22,King of Prussia Mall,2024-01-04
100304,Books,1,493.46,Scottsdale Fashion Square,2022-06-07
100305,Toys,2,286.66,King of Prussia Mall,2025-01-27
100306,Home Decor,4,162.25,Lenox Square,2023-06-02
100307,Groceries,4,393.76,Bullring & Grand Central,2020-09-28
100308,Books,2,222.82,Yorkdale Shopping Centre,2023-12-31
100309,Clothing,1,58.37,The Mall at Short Hills,2021-03-28
100310,Home Decor,1,293.1,Mall of America,2020-07-16
100311,Footwear,3,304.98,Bellevue Square,2023-12-09
100312,Accessories,4,314.96,International Plaza and Bay Street,2022-04-04
100313,Toys,4,54.53,The Americana at Brand,2022-11-11
100314,Clothing,4,391.47,The Oracle,2021-05-22
100315,Groceries,4,458.75,The Mall in Columbia,2020-03-25
100316,Clothing,1,137.34,Bluewater Shopping Centre,2024-09-22
100317,Clothing,1,42.52,Trafford Centre,2022-12-17
100318,Accessories,2,455.91,Stanford Shopping Center,2022-10-13
100319,Books,3,327.55,Fashion Show Mall,2024-07-16
100320,Groceries,3,21.34,Town Center at Boca Raton,2023-03-25
100321,Jewelry,3,169.41,Lenox Square,2020-02-08
100322,Electronics,3,110.73,The Oracle,2022-11-12
100323,Home Decor,2,121.59,The Mall at Short Hills,2020-11-10
100324,Jewelry,1,251.91,The Streets at Southpoint,2025-01-16
100325,Home Decor,4,48.57,International Plaza and Bay Street,2024-09-10
100326,Toys,2,273.92,International Plaza and Bay Street,2020-08-10
100327,Books,1,163.27,Westfield San Francisco Centre,2021-01-12
100328,Clothing,2,439.39,Bloor-Yorkville,2021-02-03
100329,Beauty Products,1,138.41,NorthPark Center,2022-06-02
100330,Jewelry,3,346.47,The Florida Mall,2020-06-07
100331,Electronics,1,62.82,The Streets at Southpoint,2023-02-14
100332,Jewelry,1,109.39,Bloor-Yorkville,2021-06-21
100333,Home Decor,3,282.04,Fashion Show Mall,2020-04-17
100334,Books,1,118.36,Bellevue Square,2020-04-15
100335,Books,2,346.39,King of Prussia Mall,2020-11-22
100336,Accessories,1,235.63,NorthPark Center,2020-07-22
100337,Beauty Products,4,293.76,The Florida Mall,2023-09-26
100338,Beauty Products,3,18.81,The Oracle,2022-05-13
100339,Home Decor,2,265.06,Bellevue Square,2022-02-22
100340,Clothing,3,214.08,Westfield Annapolis,2024-06-24
100341,Footwear,3,472.11,The Galleria at Fort Lauderdale,2022-01-19
100342,Groceries,1,473.57,Easton Town Center,2022-12-23
100343,Toys,1,468.74,NorthPark Center,2024-10-18
100344,Groceries,4,5.01,South Coast Plaza,2020-02-05
100345,Toys,2,348.46,Fashion Show Mall,2023-04-17
100346,Toys,4,26.66,Oakbrook Center,2024-02-07
100347,Clothing,3,382.87,The Shops at Columbus Circle,2022-11-22
100348,Groceries,3,265.5,Bloor-Yorkville,2021-04-18
100349,Books,1,80.49,CambridgeSide,2023-07-15
100350,Beauty Products,4,124.95,The Oracle,2020-11-25
100351,Toys,2,485.3,Lenox Square,2021-04-20
100352,Accessories,3,415.12,Lakeside Shopping Centre,2024-09-21
100353,Books,2,396.2,Perimeter Mall,2024-05-09
100354,Groceries,2,303.62,Westfield Annapolis,2023-09-16
100355,Toys,4,248.31,Bullring & Grand Central,2024-02-27
100356,Jewelry,1,26.43,Meadowhall,2024-05-06
100357,Clothing,3,297.02,The Dubai Mall,2023-08-06
100358,Toys,2,110.4,Tysons Corner Center,2022-09-15
100359,Home Decor,1,222.79,Yorkdale Shopping Centre,2022-10-13
100360,Footwear,1,323.65,Westfield Century City,2021-01-04
100361,Clothing,1,245.77,Bullring & Grand Central,2021-06-19
100362,Beauty Products,1,175.89,The Oracle,2023-11-04
100363,Home Decor,4,18.52,Palisades Center,2023-08-31
100364,Toys,1,62.88,Bullring & Grand Central,2022-04-20
100365,Clothing,3,349.19,Town Center at Boca Raton,2023-04-26
100366,Beauty Products,2,5.53,The Shops at La Cantera,2021-12-09
100367,Jewelry,2,12.29,Stonebriar Centre,2024-04-05
100368,Electronics,1,320.95,The Oracle,2021-11-27
100369,Accessories,4,433.59,Bloor-Yorkville,2022-03-21
100370,Footwear,3,372.16,Meadowhall,2022-09-28
100371,Accessories,1,67.56,Town Center at Boca Raton,2023-08-02
100372,Footwear,1,279.39,The Mall at Short Hills,2021-05-01
100373,Jewelry,4,233.27,Meadowhall,2020-12-03
100374,Electronics,3,434.51,Lenox Square,2020-01-18
100375,Home Decor,1,249.76,Park Meadows,2020-11-13
100376,Electronics,4,216.08,Yorkdale Shopping Centre,2022-12-12
100377,Toys,4,120.96,Westfield Stratford City,2021-07-01
100378,Clothing,2,254.57,The Mall at Short Hills,2022-06-30
100379,Clothing,3,486.82,The Summit,2024-12-12
100380,Toys,3,301.78,Brookfield Place,2020-08-18
100381,Books,2,129.09,Brookfield Place,2022-02-09
100382,Clothing,1,176.94,Pheasant Lane Mall,2023-12-01
100383,Home Decor,2,469.74,Pheasant Lane Mall,2020-02-03
100384,Beauty Products,3,372.55,SouthPark,2020-02-04
100385,Toys,4,345.52,The Summit,2021-08-12
100386,Electronics,1,476.34,Bullring & Grand Central,2022-08-30
100387,Footwear,1,143.08,Bullring & Grand Central,2021-10-08
100388,Beauty Products,3,421.06,The Florida Mall,2022-09-24
100389,Footwear,1,239.81,Pheasant Lane Mall,2021-08-01
100390,Jewelry,2,87.16,South Coast Plaza,2023-12-26
100391,Electronics,4,175.46,Stonebriar Centre,2020-10-05
100392,Accessories,3,24.53,Stonebriar Centre,2022-04-02
100393,Jewelry,2,397.11,Bluewater Shopping Centre,2020-03-01
100394,Footwear,1,72.44,The Streets at Southpoint,2020-01-06
100395,Beauty Products,4,255.43,Roosevelt Field,2024-06-19
100396,Accessories,4,58.89,Aventura Mall,2020-05-01
100397,Home Decor,1,313.77,Bullring & Grand Central,2022-12-16
100398,Jewelry,3,217.1,Palisades Center,2024-08-20
100399,Clothing,4,496.41,Tysons Corner Center,2020-02-27
100400,Jewelry,1,323.43,West Edmonton Mall,2023-08-19
100401,Toys,1,269.75,Scottsdale Fashion Square,2023-11-10
100402,Jewelry,4,335.16,The Florida Mall,2022-10-01
100403,Books,3,67.81,Scottsdale Fashion Square,2023-08-05
100404,Books,4,470.57,Fashion Show Mall,2021-11-06
100405,Groceries,3,307.11,Lakeside Shopping Centre,2024-02-16
100406,Electronics,2,28.07,Bloor-Yorkville,2023-06-28
100407,Books,2,366.03,Easton Town Center,2024-12-19
100408,Books,3,222.85,Westfield Century City,2022-11-09
100409,Toys,4,300.34,The Gardens Mall,2021-09-19
100410,Jewelry,4,307.51,Town Center at Boca Raton,2020-05-10
100411,Clothing,2,387.17,Arndale Centre,2022-06-01
100412,Clothing,3,194.44,Brookfield Place,2020-06-09
100413,Home Decor,4,391.02,Perimeter Mall,2021-04-28
100414,Toys,1,385.56,The Summit,2024-01-12
100415,Books,3,131.8,Dolphin Mall,2021-06-23
100416,Clothing,4,406.83,The Galleria,2021-03-16
100417,Groceries,3,271.31,Bayshore Shopping Centre,2021-12-11
100418,Groceries,4,392.99,Mall of America,2020-05-29
100419,Toys,2,393.05,The Mall at Short Hills,2023-03-26
100420,Beauty Products,2,125.13,Pheasant Lane Mall,2023-10-17
100421,Toys,4,459.6,International Plaza and Bay Street,2020-08-18
100422,Accessories,4,296.57,The Streets at Southpoint,2023-09-09
100423,Footwear,3,473.28,Brookfield Place,2020-12-25
100424,Books,2,220.28,Bullring & Grand Central,2020-01-09
100425,Toys,2,449.7,Yorkdale Shopping Centre,2020-06-01
100426,Footwear,3,395.51,The Domain,2021-09-22
100427,Electronics,2,416.9,Town Center at Boca Raton,2021-02-18
100428,Jewelry,1,484.31,The Mall in Columbia,2024-03-05
100429,Footwear,1,370.45,Westfield Century City,2020-05-14
100430,Books,3,371.98,Stanford Shopping Center,2020-08-30
100431,Electronics,4,478.5,Westfield Stratford City,2024-04-23
100432,Beauty Products,2,66.96,Palisades Center,2021-06-12
100433,Electronics,2,129.69,The Dubai Mall,2020-03-04
100434,Groceries,4,297.16,Lakeside Shopping Centre,2022-10-09
100435,Home Decor,4,229.03,Stanford Shopping Center,2024-04-04
100436,Clothing,1,374.03,Palisades Center,2020-02-20
100437,Toys,2,269.86,Roosevelt Field,2020-07-18
100438,Beauty Products,3,183.55,Scottsdale Fashion Square,2020-07-06
100439,Toys,1,34.14,Fashion Show Mall,2024-05-24
100440,Electronics,2,31.55,Fashion Show Mall,2020-02-14
100441,Books,2,346.46,Westfield Stratford City,2020-04-07
100442,Beauty Products,4,373.03,Dolphin Mall,2024-07-06
100443,Home Decor,3,402.87,Westfield Annapolis,2022-07-01
100444,Footwear,4,341.5,The Shops at Columbus Circle,2022-08-22
100445,Accessories,4,288.71,Bullring & Grand Central,2022-05-16
100446,Beauty Products,1,331.63,Perimeter Mall,2024-08-25
100447,Books,1,253.19,The Americana at Brand,2020-02-15
100448,Beauty Products,2,324.09,Westfield San Francisco Centre,2020-10-01
100449,Beauty Products,1,193.64,Santa Monica Place,2024-09-10
100450,Beauty Products,1,127.68,Pheasant Lane Mall,2021-08-31
100451,Electronics,3,44.13,Bayshore Shopping Centre,2022-03-02
100452,Toys,2,61.93,Westfield San Francisco Centre,2022-04-09
100453,Groceries,1,168.11,The Shops at Columbus Circle,2020-09-24
